dataset,accuracy,rules,antlength,buildtime
anneal,0.991098077952011,10.1,1.30727272727273,0.236
australian,0.837826086956522,5.2,2.09,0.472
autos,0.752089190367222,24.6,1.73555288428602,0.329
breast-w,0.954221269646867,7.6,1.27059523809524,0.105
colic,0.83147226173542,6.3,2.11805555555556,0.074
credit-a,0.855116307392522,7.1,2.01607142857143,0.305
credit-g,0.711,20.7,3.12855346486421,1.1
diabetes,0.743609022556391,7.1,2.17063492063492,1.645
glass,0.698848422109292,13.6,1.93241758241758,0.76
heart-statlog,0.788888888888889,5.8,2.07095238095238,0.069
hepatitis,0.794975490196078,5.6,1.94380952380952,0.051
hypothyroid,0.989398972105592,13.6,2.98975871350871,14.47
ionosphere,0.916993464052288,11.9,1,0.944
iris,0.933333333333333,3.5,0.908333333333333,0.044
labor,0.873333333333333,4.9,1.03333333333333,0.03
letter,0.768944522393212,814.8,3.34166541055237,635.315
lymph,0.769821428571429,7.9,1.63464285714286,0.04
