"","rules","support","confidence","lift"
"1","{dst_host_diff_srv_rate=[-Inf;0.005],dst_host_same_src_port_rate=[-Inf;0.005],dst_host_rerror_rate=[-Inf;0.005]} => {label=1}",1,1,1
"2","{src_bytes=(28.5;333.5],urgent=0,root_shell=0} => {label=1}",1,1,1
"3","{duration=[-Inf;0.5],service=b'private'} => {label=0}",1,1,1
"4","{urgent=0,flag=b'SF',dst_bytes=(2;1197.5]} => {label=1}",1,1,1
"5","{protocol_type=b'icmp'} => {label=0}",1,1,1
"6","{dst_host_diff_srv_rate=[-Inf;0.005],logged_in=1,dst_host_srv_diff_host_rate=[-Inf;0.005]} => {label=0}",1,1,1
"7","{service=b'http',diff_srv_rate=[-Inf;0.035],dst_host_serror_rate=[-Inf;0.005]} => {label=1}",1,1,1
"8","{dst_host_diff_srv_rate=[-Inf;0.005],urgent=0,num_outbound_cmds=0} => {label=0}",1,1,1
"9","{src_bytes=[-Inf;2.5],land=0,su_attempted=0} => {label=0}",1,1,1
"10","{dst_host_same_src_port_rate=[-Inf;0.005],diff_srv_rate=[-Inf;0.035],dst_host_srv_rerror_rate=[-Inf;0.005]} => {label=0}",1,1,1
"11","{} => {label=1}",1,1,1
