"","rules","support","confidence","lift"
"1","{src_bytes=(28.5;333.5],root_shell=0,is_host_login=0} => {label=1}",1,1,1
"2","{service=b'private',land=0,num_outbound_cmds=0} => {label=0}",1,1,1
"3","{flag=b'SF',dst_bytes=(2;1197.5]} => {label=1}",1,1,1
"4","{service=b'http',logged_in=1,dst_host_rerror_rate=[-Inf;0.005]} => {label=1}",1,1,1
"5","{is_host_login=0,protocol_type=b'icmp',srv_serror_rate=[-Inf;0.005]} => {label=0}",1,1,1
"6","{logged_in=1,urgent=0,dst_host_diff_srv_rate=[-Inf;0.005]} => {label=0}",1,1,1
"7","{duration=[-Inf;0.5],serror_rate=[-Inf;0.51],dst_host_count=(2.5;254.5]} => {label=1}",1,1,1
"8","{service=b'http',serror_rate=[-Inf;0.51],num_file_creations=[-Inf;0.5]} => {label=1}",1,1,1
"9","{src_bytes=[-Inf;2.5]} => {label=0}",1,1,1
"10","{} => {label=1}",1,1,1
