"","rules","support","confidence","lift"
"1","{flag=b'SF',src_bytes=(28.5;333.5],root_shell=0} => {label=1}",1,1,1
"2","{flag=b'SF',protocol_type=b'icmp'} => {label=0}",1,1,1
"3","{num_file_creations=[-Inf;0.5],diff_srv_rate=[-Inf;0.035],dst_host_srv_diff_host_rate=(0.005;0.085]} => {label=1}",1,1,1
"4","{service=b'http',logged_in=1,dst_host_rerror_rate=[-Inf;0.005]} => {label=1}",1,1,1
"5","{num_file_creations=[-Inf;0.5],service=b'private',num_outbound_cmds=0} => {label=0}",1,1,1
"6","{flag=b'SF',num_outbound_cmds=0,dst_bytes=(2;1197.5]} => {label=1}",1,1,1
"7","{logged_in=1,serror_rate=[-Inf;0.51],dst_host_diff_srv_rate=[-Inf;0.005]} => {label=0}",1,1,1
"8","{root_shell=0,diff_srv_rate=[-Inf;0.035],service=b'http'} => {label=1}",1,1,1
"9","{src_bytes=[-Inf;2.5],num_root=[-Inf;0.5]} => {label=0}",1,1,1
"10","{} => {label=1}",1,1,1
