"","rules","support","confidence","lift"
"1","{service=b'http',flag=b'SF',dst_host_rerror_rate=[-Inf;0.005]} => {label=1}",1,1,1
"2","{dst_bytes=(11;2443.5],num_shells=0} => {label=1}",1,1,1
"3","{src_bytes=(28.5;333.5],num_root=[-Inf;0.5],is_guest_login=0} => {label=1}",1,1,1
"4","{protocol_type=b'icmp',logged_in=0,is_host_login=0} => {label=0}",1,1,1
"5","{logged_in=1,dst_host_diff_srv_rate=[-Inf;0.005],dst_host_srv_diff_host_rate=[-Inf;0.005]} => {label=0}",1,1,1
"6","{service=b'http',num_root=[-Inf;0.5],diff_srv_rate=[-Inf;0.035]} => {label=1}",1,1,1
"7","{is_host_login=0,duration=(0.5;20784],num_access_files=[-Inf;0.5]} => {label=0}",1,1,1
"8","{dst_host_rerror_rate=[-Inf;0.005],is_guest_login=0,dst_host_diff_srv_rate=[-Inf;0.005]} => {label=0}",1,1,1
"9","{flag=b'SF',protocol_type=b'tcp',su_attempted=0} => {label=1}",1,1,1
"10","{} => {label=0}",1,1,1
