"","rules","support","confidence","lift"
"1","{dst_bytes=(11;2443.5],land=0,num_failed_logins=0} => {label=1}",1,1,1
"2","{service=b'http',dst_host_diff_srv_rate=[-Inf;0.005],dst_host_rerror_rate=[-Inf;0.005]} => {label=1}",1,1,1
"3","{src_bytes=(28.5;333.5],root_shell=0} => {label=1}",1,1,1
"4","{su_attempted=0,num_root=[-Inf;0.5],same_srv_rate=[-Inf;0.195]} => {label=0}",1,1,1
"5","{protocol_type=b'icmp',dst_bytes=[-Inf;11],dst_host_srv_serror_rate=[-Inf;0.005]} => {label=0}",1,1,1
"6","{dst_host_diff_srv_rate=[-Inf;0.005],num_root=[-Inf;0.5],logged_in=1} => {label=0}",1,1,1
"7","{duration=[-Inf;0.5],protocol_type=b'tcp',flag=b'SF'} => {label=1}",1,1,1
"8","{service=b'http',su_attempted=0,dst_host_srv_serror_rate=[-Inf;0.005]} => {label=1}",1,1,1
"9","{num_failed_logins=0,dst_host_diff_srv_rate=[-Inf;0.005],is_guest_login=0} => {label=1}",1,1,1
"10","{} => {label=0}",1,1,1
