"","rules","support","confidence","lift"
"1","{dst_bytes=(2;1197.5],urgent=0} => {label=1}",1,1,1
"2","{src_bytes=(28.5;333.5],root_shell=0,num_outbound_cmds=0} => {label=1}",1,1,1
"3","{flag=b'S0',dst_host_rerror_rate=[-Inf;0.005]} => {label=0}",1,1,1
"4","{protocol_type=b'tcp',count=[-Inf;38.5],dst_host_srv_diff_host_rate=(0.005;0.085]} => {label=1}",1,1,1
"5","{dst_host_rerror_rate=[-Inf;0.005],service=b'http',dst_host_same_src_port_rate=[-Inf;0.005]} => {label=1}",1,1,1
"6","{flag=b'SF',dst_bytes=(1202.5;8313],num_access_files=[-Inf;0.5]} => {label=0}",1,1,1
"7","{land=0,logged_in=1,dst_host_diff_srv_rate=[-Inf;0.005]} => {label=0}",1,1,1
"8","{protocol_type=b'tcp',flag=b'SF',dst_host_srv_rerror_rate=[-Inf;0.005]} => {label=1}",1,1,1
"9","{num_outbound_cmds=0,service=b'http',num_file_creations=[-Inf;0.5]} => {label=1}",1,1,1
"10","{logged_in=1,wrong_fragment=[-Inf;0.5],diff_srv_rate=[-Inf;0.035]} => {label=1}",1,1,1
"11","{num_failed_logins=[-Inf; Inf],su_attempted=[-Inf; Inf],srv_count=(323; Inf]} => {label=0}",1,1,1
"12","{} => {label=0}",1,1,1
