"","rules","support","confidence","lift"
"1","{duration=[-Inf;0.5],src_bytes=(28.5;333.5],urgent=0} => {label=1}",1,1,1
"2","{dst_bytes=(2;2071.5],dst_host_srv_rerror_rate=[-Inf;0.005]} => {label=1}",1,1,1
"3","{dst_host_srv_rerror_rate=[-Inf;0.005],dst_host_diff_srv_rate=[-Inf;0.005],dst_host_same_src_port_rate=[-Inf;0.005]} => {label=1}",1,1,1
"4","{protocol_type=b'icmp',num_file_creations=[-Inf;0.5],diff_srv_rate=[-Inf;0.035]} => {label=0}",1,1,1
"5","{dst_host_diff_srv_rate=[-Inf;0.005],is_guest_login=0,dst_host_srv_diff_host_rate=[-Inf;0.005]} => {label=0}",1,1,1
"6","{service=b'http',num_access_files=[-Inf;0.5],srv_serror_rate=[-Inf;0.005]} => {label=1}",1,1,1
"7","{urgent=0,dst_host_diff_srv_rate=[-Inf;0.005],num_root=[-Inf;0.5]} => {label=0}",1,1,1
"8","{urgent=0,service=b'private',root_shell=0} => {label=0}",1,1,1
"9","{src_bytes=[-Inf;2.5],dst_bytes=[-Inf;2],wrong_fragment=[-Inf;0.5]} => {label=0}",1,1,1
"10","{srv_rerror_rate=[-Inf; Inf],diff_srv_rate=(0.035;0.195],dst_host_rerror_rate=[-Inf;0.005]} => {label=0}",1,1,1
"11","{is_guest_login=0,wrong_fragment=[-Inf;0.5],dst_host_count=(2.5;254.5]} => {label=1}",1,1,1
"12","{} => {label=1}",1,1,1
