"","rules","support","confidence","lift"
"1","{src_bytes=(28.5;333.5]} => {label=1}",1,1,1
"2","{service=b'private'} => {label=0}",1,1,1
"3","{protocol_type=b'icmp'} => {label=0}",1,1,1
"4","{same_srv_rate=[-Inf;0.105]} => {label=0}",1,1,1
"5","{dst_host_same_src_port_rate=(0.125;0.995]} => {label=1}",1,1,1
"6","{diff_srv_rate=(0.035;0.195]} => {label=0}",1,1,1
"7","{dst_bytes=(2;2196.5]} => {label=1}",1,1,1
"8","{X=(26762;39732.5]} => {label=1}",1,1,1
"9","{dst_host_srv_diff_host_rate=(0.005;0.085]} => {label=1}",1,1,1
"10","{dst_host_same_srv_rate=(0.585;0.995]} => {label=1}",1,1,1
"11","{dst_bytes=(2454.5;8308]} => {label=1}",1,1,1
"12","{dst_host_srv_rerror_rate=[-Inf;0.005]} => {label=0}",1,1,1
"13","{logged_in=1} => {label=0}",1,1,1
"14","{dst_host_diff_srv_rate=[-Inf;0.005]} => {label=1}",1,1,1
"15","{} => {label=0}",1,1,1
