rules,suppport,confidence,lift
"{wrong_fragment=[-Inf;0.5],dst_host_count=(254.5; Inf],service=b'ecr_i',num_compromised=[-Inf;0.5]} => {labels=smurf.}",0.57,1.00,0.00 
"{service=b'ecr_i',wrong_fragment=[-Inf;0.5],dst_host_count=(254.5; Inf],duration=[-Inf;0.5]} => {labels=smurf.}",0.57,1.00,0.00 
"{dst_bytes=[-Inf;2],wrong_fragment=[-Inf;0.5],dst_host_count=(254.5; Inf],service=b'ecr_i'} => {labels=smurf.}",0.57,1.00,0.00 
"{service=b'ecr_i',wrong_fragment=[-Inf;0.5],dst_host_count=(254.5; Inf],dst_host_srv_diff_host_rate=[-Inf;0.005]} => {labels=smurf.}",0.57,1.00,0.00 
"{service=b'ecr_i',wrong_fragment=[-Inf;0.5],dst_host_count=(254.5; Inf],rerror_rate=[-Inf;0.04]} => {labels=smurf.}",0.57,1.00,0.00 
"{serror_rate=[-Inf;0.005],wrong_fragment=[-Inf;0.5],dst_host_count=(254.5; Inf],service=b'ecr_i'} => {labels=smurf.}",0.57,1.00,0.00 
"{flag=b'SF',wrong_fragment=[-Inf;0.5],dst_host_count=(254.5; Inf],service=b'ecr_i'} => {labels=smurf.}",0.57,1.00,0.00 
"{num_shells=[-Inf; Inf],wrong_fragment=[-Inf;0.5],dst_host_count=(254.5; Inf],service=b'ecr_i'} => {labels=smurf.}",0.57,1.00,0.00 
"{srv_count=(323; Inf],count=(323.5; Inf]} => {labels=smurf.}",0.57,1.00,0.00 
"{srv_diff_host_rate=[-Inf;0.005],srv_count=(323; Inf]} => {labels=smurf.}",0.57,1.00,0.00 
"{srv_count=(323; Inf],diff_srv_rate=[-Inf;0.035]} => {labels=smurf.}",0.57,1.00,0.00 
"{dst_bytes=[-Inf;2],srv_count=(323; Inf]} => {labels=smurf.}",0.57,1.00,0.00 
"{srv_count=(323; Inf],dst_host_srv_diff_host_rate=[-Inf;0.005]} => {labels=smurf.}",0.57,1.00,0.00 
"{srv_count=(323; Inf]} => {labels=smurf.}",0.57,1.00,0.00 
"{dst_host_srv_rerror_rate=[-Inf;0.005],srv_count=(323; Inf]} => {labels=smurf.}",0.57,1.00,0.00 
"{wrong_fragment=[-Inf;0.5],dst_host_count=(254.5; Inf],service=b'ecr_i',root_shell=0} => {labels=smurf.}",0.57,1.00,0.00 
"{ } => {labels=smurf.}", 0,0,0
