dataset,accuracy,rules,antlength,buildtime
anneal,0.992221673457628,18,1.38942208462332,0.267
australian,0.84639751552795,9.3,2.34088383838384,0.52
autos,0.755896080781664,31.9,1.70228615786491,0.282
breast-w,0.958507567141982,12.3,1.35746336996337,0.104
colic,0.823214003477161,14.4,2.10128070458953,0.081
credit-a,0.855116307392522,14.3,2.2014652014652,0.322
credit-g,0.727,33.2,2.85144964398423,1.266
diabetes,0.74876965140123,13.8,2.0148513986014,1.775
glass,0.721992910471171,17.6,1.97762543613937,0.807
heart-statlog,0.803703703703704,8.9,2.28893939393939,0.076
hepatitis,0.819656862745098,8.7,1.71738816738817,0.055
hypothyroid,0.990989786049671,15.4,2.83319475158484,14.811
ionosphere,0.917240896358544,16.9,1.29829715219421,0.88
iris,0.933333333333333,3.8,0.975,0.047
labor,0.91,7.6,1.07777777777778,0.032
letter,0.781592661059418,842.2,3.36318914442555,598.73
lymph,0.804583333333333,11.6,1.7764035964036,0.04
segment,0.954112554112554,57.8,2.13772089082208,156.843
sonar,0.726796536796537,11.4,2.07094988344988,0.833
spambase,0.920462022402095,63.1,1.88314184178797,87.407
vehicle,0.682066215356428,39.2,2.73989216121918,7.639
vowel,0.677777777777778,101.4,2.7521609564769,189.535
