dataset,accuracy,rules,antlength,buildtime
anneal,0.985591362445295,21.9,1.35332674571805,0.33
australian,0.855094994519547,9.8,2.295,0.225
autos,0.697413461189205,38.1,1.67489656791982,0.236
breast-w,0.951302598197883,12.6,1.38157509157509,0.209
colic,0.810067962699542,15.2,1.98764705882353,0.223
credit-a,0.855116307392522,15.1,2.21922969187675,0.234
credit-g,0.704,35.2,2.78935076791129,0.306
diabetes,0.747436773752563,13.7,2.04889005602241,0.221
glass,0.677135328439676,20.4,2.01934669678148,0.202
heart-statlog,0.807407407407407,8.6,2.24393939393939,0.191
hepatitis,0.820441176470588,9.6,1.65469696969697,0.189
hypothyroid,0.975077335834759,24.6,2.41090651697158,0.433
ionosphere,0.928678804855276,19.8,1.35429141034404,0.25
iris,0.946666666666667,7.2,1.2031746031746,0.167
labor,0.82,7.4,1.12126984126984,0.163
letter,0.680140105688434,1143.5,3.23350051751878,2.858
lymph,0.790337301587302,12,1.73815018315018,0.191
