dataset,accuracy,rules,antlength,buildtime
anneal,0.991098077952011,10.1,1.31727272727273,0.243
australian,0.84639751552795,5.1,2.04,0.478
autos,0.745992699139152,25.1,1.66817603377798,0.261
breast-w,0.955649841075438,8.2,1.27329365079365,0.098
colic,0.83147226173542,6.3,2.10833333333333,0.074
credit-a,0.855116307392522,7.3,2.08214285714286,0.297
credit-g,0.724,20.1,3.1601598649029,1.164
diabetes,0.756596035543404,7.4,2.18048340548341,1.65
glass,0.684779158040028,13.7,1.94917582417582,0.752
heart-statlog,0.792592592592593,5.6,2.02333333333333,0.068
hepatitis,0.807107843137255,5.5,1.92047619047619,0.051
hypothyroid,0.989398972105592,13.8,2.9773313940961,13.693
ionosphere,0.919934640522876,12.1,1.0210372960373,0.816
iris,0.933333333333333,3.5,0.908333333333333,0.042
labor,0.876666666666667,5.1,0.985952380952381,0.03
letter,0.771833572864063,807.3,3.35944954031486,583.516
lymph,0.790297619047619,7.8,1.58630952380952,0.04
