"","rules","support","confidence","lift","laplace","chiSquared","weightedChiSquared"
"1","{checking_status=no checking,purpose=used car,credit_amount=[-Inf;10918]} => {class=good}",0.0511111111111111,1,1.42857142857143,0.979166666666667,20.7761793241887,20.7761793241887
"2","{checking_status=no checking,purpose=used car,other_payment_plans=none} => {class=good}",0.0466666666666667,1,1.42857142857143,0.977272727272727,18.8811188811189,18.8811188811189
"3","{purpose=used car,housing=own,num_dependents=1} => {class=good}",0.0422222222222222,1,1.42857142857143,0.975,17.0036460059662,17.0036460059662
"4","{checking_status=no checking,purpose=used car,personal_status=male single} => {class=good}",0.0388888888888889,1,1.42857142857143,0.972972972972973,15.606936416185,15.606936416185
"5","{credit_amount=[-Inf;10918],savings_status=>=1000,num_dependents=1} => {class=good}",0.0388888888888889,1,1.42857142857143,0.972972972972973,15.606936416185,15.606936416185
"6","{savings_status=>=1000,other_parties=none,num_dependents=1} => {class=good}",0.0388888888888889,1,1.42857142857143,0.972972972972973,15.606936416185,15.606936416185
"7","{checking_status=no checking,employment=4<=X<7,property_magnitude=car} => {class=good}",0.0377777777777778,1,1.42857142857143,0.972222222222222,15.143516991092,15.143516991092
"8","{credit_history=critical/other existing credit,savings_status=no known savings,job=skilled} => {class=good}",0.0366666666666667,1,1.42857142857143,0.971428571428571,14.6811665842808,14.6811665842808
"9","{checking_status=no checking,credit_history=existing paid,employment=4<=X<7} => {class=good}",0.0355555555555556,1,1.42857142857143,0.970588235294118,14.2198815009875,14.2198815009875
"10","{checking_status=no checking,purpose=used car,housing=own} => {class=good}",0.0355555555555556,1,1.42857142857143,0.970588235294118,14.2198815009875,14.2198815009875
"11","{savings_status=>=1000,other_payment_plans=none,num_dependents=1} => {class=good}",0.0355555555555556,1,1.42857142857143,0.970588235294118,14.2198815009875,14.2198815009875
"12","{checking_status=no checking,employment=4<=X<7,own_telephone=yes} => {class=good}",0.0344444444444444,1,1.42857142857143,0.96969696969697,13.7596580634555,13.7596580634555
"13","{credit_amount=[-Inf;10918],savings_status=>=1000,housing=own} => {class=good}",0.0344444444444444,1,1.42857142857143,0.96969696969697,13.7596580634555,13.7596580634555
"14","{savings_status=>=1000,other_parties=none,housing=own} => {class=good}",0.0344444444444444,1,1.42857142857143,0.96969696969697,13.7596580634555,13.7596580634555
"15","{purpose=used car,housing=own,own_telephone=yes} => {class=good}",0.0322222222222222,1,1.42857142857143,0.967741935483871,12.8423814990979,12.8423814990979
"16","{checking_status=no checking,purpose=used car,own_telephone=yes} => {class=good}",0.0322222222222222,1,1.42857142857143,0.967741935483871,12.8423814990979,12.8423814990979
"17","{checking_status=no checking,purpose=used car,job=skilled} => {class=good}",0.0311111111111111,1,1.42857142857143,0.966666666666667,12.3853211009174,12.3853211009174
"18","{purpose=used car,property_magnitude=car,housing=own} => {class=good}",0.0311111111111111,1,1.42857142857143,0.966666666666667,12.3853211009174,12.3853211009174
"19","{checking_status=no checking,personal_status=male mar/wid,num_dependents=1} => {class=good}",0.0311111111111111,1,1.42857142857143,0.966666666666667,12.3853211009174,12.3853211009174
"20","{purpose=used car,personal_status=male single,property_magnitude=car} => {class=good}",0.03,1,1.42857142857143,0.96551724137931,11.9293078055965,11.9293078055965
"21","{savings_status=>=1000,other_payment_plans=none,housing=own} => {class=good}",0.03,1,1.42857142857143,0.96551724137931,11.9293078055965,11.9293078055965
"22","{credit_history=critical/other existing credit,purpose=radio/tv,own_telephone=yes} => {class=good}",0.0288888888888889,1,1.42857142857143,0.964285714285714,11.4743380189604,11.4743380189604
"23","{checking_status=no checking,duration=[-Inf;15.5],employment=4<=X<7} => {class=good}",0.0288888888888889,1,1.42857142857143,0.964285714285714,11.4743380189604,11.4743380189604
"24","{checking_status=no checking,personal_status=male mar/wid,other_parties=none} => {class=good}",0.0288888888888889,1,1.42857142857143,0.964285714285714,11.4743380189604,11.4743380189604
