"","rules","support","confidence","lift","laplace","chiSquared","weightedChiSquared"
"1","{word_freq_order=[-Inf;0.045],word_freq_george=(0.44; Inf]} => {class=0}",0.134782608695652,1,1.65005978477481,0.998214285714286,419.239561698489,419.239561698489
"2","{word_freq_george=(0.44; Inf],X.char_freq_..21.=[-Inf;0.005]} => {class=0}",0.114975845410628,1,1.65005978477481,0.997907949790795,349.627132715238,349.627132715238
"3","{word_freq_your=[-Inf;0.385],word_freq_george=(0.44; Inf]} => {class=0}",0.101207729468599,1,1.65005978477481,0.997624703087886,303.045607701551,303.045607701552
"4","{word_freq_hpl=(0.12; Inf],word_freq_650=(0.01; Inf]} => {class=0}",0.0797101449275362,1,1.65005978477481,0.996987951807229,233.100177942086,233.100177942086
"5","{word_freq_hpl=(0.12; Inf],word_freq_85=(0.195; Inf]} => {class=0}",0.0717391304347826,1,1.65005978477481,0.996655518394649,207.988683362845,207.988683362845
"6","{word_freq_free=[-Inf;0.095],word_freq_lab=(0.125; Inf]} => {class=0}",0.0707729468599034,1,1.65005978477481,0.996610169491525,204.974140922158,204.974140922158
"7","{word_freq_lab=(0.125; Inf],word_freq_edu=[-Inf;0.035]} => {class=0}",0.0702898550724638,1,1.65005978477481,0.996587030716723,203.469219306211,203.469219306211
"8","{word_freq_you=[-Inf;0.115],word_freq_george=(0.44; Inf]} => {class=0}",0.0688405797101449,1,1.65005978477481,0.996515679442509,198.963823620181,198.963823620181
"9","{word_freq_all=[-Inf;0.235],word_freq_lab=(0.125; Inf]} => {class=0}",0.0606280193236715,1,1.65005978477481,0.99604743083004,173.695840769066,173.695840769066
"10","{word_freq_hpl=(0.12; Inf],word_freq_technology=(0.055;1.43]} => {class=0}",0.0603864734299517,1,1.65005978477481,0.996031746031746,172.959351476074,172.959351476074
"11","{word_freq_george=(0.44; Inf],capital_run_length_longest=[-Inf;5.5]} => {class=0}",0.0594202898550725,1,1.65005978477481,0.995967741935484,170.017176991797,170.017176991797
"12","{word_freq_650=(0.01; Inf],word_freq_labs=(0.125; Inf]} => {class=0}",0.058695652173913,1,1.65005978477481,0.995918367346939,167.814509797063,167.814509797063
"13","{word_freq_receive=[-Inf;0.045],word_freq_telnet=(0.045; Inf]} => {class=0}",0.0579710144927536,1,1.65005978477481,0.995867768595041,165.61523132109,165.61523132109
"14","{word_freq_address=[-Inf;0.075],word_freq_telnet=(0.045; Inf]} => {class=0}",0.0579710144927536,1,1.65005978477481,0.995867768595041,165.61523132109,165.61523132109
"15","{word_freq_labs=(0.125; Inf],word_freq_85=(0.195; Inf]} => {class=0}",0.0553140096618358,1,1.65005978477481,0.995670995670996,157.580076592587,157.580076592587
"16","{word_freq_lab=(0.125; Inf],word_freq_pm=[-Inf;0.105]} => {class=0}",0.0550724637681159,1,1.65005978477481,0.995652173913044,156.851848682168,156.851848682168
"17","{word_freq_hpl=(0.12; Inf],word_freq_telnet=(0.045; Inf]} => {class=0}",0.0548309178743961,1,1.65005978477481,0.995633187772926,156.12399298126,156.12399298126
"18","{word_freq_hp=(1.495; Inf],word_freq_650=(0.01; Inf]} => {class=0}",0.0543478260869565,1,1.65005978477481,0.995594713656388,154.66939706711,154.66939706711
"19","{word_freq_hp=(1.495; Inf],word_freq_85=(0.195; Inf]} => {class=0}",0.0543478260869565,1,1.65005978477481,0.995594713656388,154.66939706711,154.66939706711
"20","{word_freq_meeting=(0.455; Inf]} => {class=0}",0.0531400966183575,1,1.65005978477481,0.995495495495496,151.039401013494,151.039401013494
"21","{word_freq_parts=[-Inf; Inf],word_freq_meeting=(0.455; Inf]} => {class=0}",0.0531400966183575,1,1.65005978477481,0.995495495495496,151.039401013494,151.039401013494
"22","{word_freq_meeting=(0.455; Inf],word_freq_table=[-Inf; Inf]} => {class=0}",0.0531400966183575,1,1.65005978477481,0.995495495495496,151.039401013494,151.039401013494
"23","{word_freq_3d=[-Inf;0.365],word_freq_meeting=(0.455; Inf]} => {class=0}",0.0531400966183575,1,1.65005978477481,0.995495495495496,151.039401013494,151.039401013494
"24","{word_freq_hp=(1.495; Inf],word_freq_1999=(0.105; Inf]} => {class=0}",0.0528985507246377,1,1.65005978477481,0.995475113122172,150.31451274265,150.31451274265
"25","{word_freq_your=[-Inf;0.385],word_freq_lab=(0.125; Inf]} => {class=0}",0.0516908212560386,1,1.65005978477481,0.99537037037037,146.695610524476,146.695610524476
"26","{word_freq_hpl=(0.12; Inf],word_freq_lab=(0.125; Inf]} => {class=0}",0.0502415458937198,1,1.65005978477481,0.995238095238095,142.365076771436,142.365076771436
"27","{word_freq_hpl=(0.12; Inf],word_freq_george=(0.44; Inf]} => {class=0}",0.0490338164251208,1,1.65005978477481,0.995121951219512,138.766381590157,138.766381590157
"28","{word_freq_george=(0.44; Inf],X.char_freq_..28.=(0.2725; Inf]} => {class=0}",0.0490338164251208,1,1.65005978477481,0.995121951219512,138.766381590157,138.766381590157
"29","{word_freq_labs=(0.125; Inf],word_freq_telnet=(0.045; Inf]} => {class=0}",0.0485507246376812,1,1.65005978477481,0.995073891625616,137.32946161526,137.32946161526
"30","{word_freq_lab=(0.125; Inf],word_freq_labs=(0.125; Inf]} => {class=0}",0.0483091787439614,1,1.65005978477481,0.995049504950495,136.611548678564,136.611548678564
"31","{word_freq_hp=(1.495; Inf],word_freq_technology=(0.055;1.43]} => {class=0}",0.0478260869565217,1,1.65005978477481,0.995,135.176815518926,135.176815518926
"32","{word_freq_george=(0.44; Inf],capital_run_length_average=(1.075;2.014]} => {class=0}",0.0461352657004831,1,1.65005978477481,0.994818652849741,130.166693900439,130.166693900439
"33","{word_freq_george=(0.44; Inf],capital_run_length_longest=(9.5;18.5]} => {class=0}",0.043719806763285,1,1.65005978477481,0.994535519125683,123.040110917696,123.040110917695
"34","{word_freq_mail=[-Inf;0.045],word_freq_telnet=(0.045; Inf]} => {class=0}",0.0432367149758454,1,1.65005978477481,0.994475138121547,121.619112371932,121.619112371932
"35","{word_freq_hp=(1.495; Inf],word_freq_telnet=(0.045; Inf]} => {class=0}",0.0432367149758454,1,1.65005978477481,0.994475138121547,121.619112371932,121.619112371932
"36","{word_freq_credit=[-Inf;0.08],word_freq_857=(0.045; Inf]} => {class=0}",0.0432367149758454,1,1.65005978477481,0.994475138121547,121.619112371932,121.619112371932
"37","{word_freq_money=[-Inf;0.01],word_freq_857=(0.045; Inf]} => {class=0}",0.0429951690821256,1,1.65005978477481,0.994444444444444,120.909151084365,120.909151084365
"38","{word_freq_george=(0.44; Inf],word_freq_650=(0.01; Inf]} => {class=0}",0.0427536231884058,1,1.65005978477481,0.994413407821229,120.199548091669,120.199548091669
"39","{word_freq_george=(0.44; Inf],word_freq_labs=(0.125; Inf]} => {class=0}",0.0427536231884058,1,1.65005978477481,0.994413407821229,120.199548091669,120.199548091669
"40","{word_freq_telnet=(0.045; Inf],X.char_freq_..5B.=[-Inf;0.0325]} => {class=0}",0.0427536231884058,1,1.65005978477481,0.994413407821229,120.199548091669,120.199548091669
"41","{word_freq_hp=(1.495; Inf],capital_run_length_total=(130.5;710]} => {class=0}",0.042512077294686,1,1.65005978477481,0.99438202247191,119.490303122684,119.490303122684
"42","{X.char_freq_..21.=(0.377;7.52],capital_run_length_total=(710; Inf]} => {class=1}",0.0420289855072464,1,2.53832004904966,0.994318181818182,279.411051571713,279.411051571713
"43","{word_freq_telnet=(0.045; Inf],capital_run_length_longest=(9.5;18.5]} => {class=0}",0.0408212560386473,1,1.65005978477481,0.994152046783626,114.535590283441,114.535590283441
"44","{word_freq_labs=(0.125; Inf],word_freq_1999=(0.105; Inf]} => {class=0}",0.0403381642512077,1,1.65005978477481,0.994082840236686,113.123164862222,113.123164862222
"45","{word_freq_hp=(1.495; Inf],capital_run_length_average=(1.075;2.014]} => {class=0}",0.0400966183574879,1,1.65005978477481,0.994047619047619,112.417485276457,112.417485276457
"46","{word_freq_857=(0.045; Inf],word_freq_415=(0.195; Inf]} => {class=0}",0.0400966183574879,1,1.65005978477481,0.994047619047619,112.417485276457,112.417485276457
"47","{word_freq_george=(0.44; Inf],capital_run_length_average=(2.014;3.381]} => {class=0}",0.0398550724637681,1,1.65005978477481,0.994011976047904,111.712160749603,111.712160749603
"48","{word_freq_85=(0.195; Inf],word_freq_technology=(0.055;1.43]} => {class=0}",0.0396135265700483,1,1.65005978477481,0.993975903614458,111.007191013759,111.007191013759
"49","{word_freq_1999=(0.105; Inf],word_freq_original=(0.245; Inf]} => {class=0}",0.0388888888888889,1,1.65005978477481,0.993865030674847,108.894407877306,108.894407877306
