dataset,accuracy,rules,antlength,buildtime,auc
anneal,0.992221947839925,27.4,2.31389837620872,14.65,0
australian,0.855012178784557,123.4,3.77833603365704,1.65,0.871573031647383
autos,0.787627583451382,57.1,2.51177625620383,10.8,0
breast-w,0.954201148922521,57.2,2.70988660726069,0.6,0.955049626701801
colic,0.793851746483325,106.5,2.89009107503217,8.84,0.782618119458182
credit-a,0.853774205334308,147,3.61905746830873,3.94,0.861861577523717
credit-g,0.745,239.6,3.46684212178596,10.85,0.672827947420847
diabetes,0.757928913192071,56.7,2.81840937165983,0.5,0.787655270655271
glass,0.71946452098626,32.4,2.81512957541903,0.48,0
heart-statlog,0.833333333333333,61,3.61165422842662,0.41,0.843813131313132
hepatitis,0.801593137254902,37.6,3.15550961308984,6.88,0.634615384615385
hypothyroid,0.970600977596183,40.8,2.7030320648992,13.57,0
ionosphere,0.922553688141924,57.8,1.95005158467723,11.55,0.9133433957347
iris,0.933333333333333,9.1,1.40357864357864,0.08,0
labor,0.86,13.3,1.64205128205128,0.57,0.870833333333333
letter,0.284631633162871,91.1,2.98796486196037,2.35,0
lymph,0.799166666666667,39.2,2.87600925003364,3.74,0
segment,0.948051948051948,183,2.70679882282495,20.19,0
sonar,0.734891774891775,48.4,2.77281412306032,9.25,0.740176767676768
spambase,0.930669512903509,308.4,2.20400382788629,72.24,0.952518667038976
vehicle,0.692554048469841,149.2,3.62103096485715,12.02,0
vowel,0.660606060606061,134.2,3.41457643018604,3.29,0
kdd1000_,0.984,7.1,1.31785714285714,37.44,0
kdd10000_,0.9845,32,2.31896440516578,92.2,0
kdd20000_,0.98515,62.3,2.55860469683632,112.23,0
kdd30000_,0.985933333333333,71.5,2.46373557329329,167.67,0
kdd40000_,0.98635,83.3,2.37362493261982,254.58,0
