dataset,accuracy,rules,antlength,buildtime,auc
anneal,0.992221947839925,25.1,2.28014472403603,1.39,0
australian,0.825896967482645,42.2,3.78323257767085,54.23,0.840087283966741
autos,0.79674249028368,44.4,2.46402582995294,1.52,0
breast-w,0.95138424751407,20,2.68713375753186,1.24,0.950243961352657
colic,0.772222222222222,54.4,2.75743642625718,0.6,0.743844561235866
credit-a,0.81285227134332,58.7,3.61534825685161,18.45,0.854848504636281
credit-g,0.762,151.1,3.42063722196025,19.71,0.680928571428572
diabetes,0.76173957621326,29.9,2.88204182190748,19.44,0.764519943019943
glass,0.68875054896794,22.1,2.75921518822565,3.88,0
heart-statlog,0.785185185185185,26.1,3.55968610194154,1.35,0.796944444444444
hepatitis,0.820024509803921,22.4,2.98707508281192,0.22,0.646474358974359
hypothyroid,0.981713648216198,14.7,2.40686602870813,27.86,0
ionosphere,0.854425770308123,21.9,1.90730668179181,7.78,0.84142216479173
iris,0.94,4.1,1.14333333333333,0.09,0
labor,0.86,7.8,1.76686507936508,0.04,0.8375
letter,0.294733268404838,78.3,2.91692171050368,40.66,0
lymph,0.799166666666667,37.8,2.91358408560709,0.07,0
segment,0.936363636363637,66.1,2.63004985715641,668.5,0
sonar,0.716753246753247,19.6,2.72516339869281,5.33,0.723017676767677
spambase,0.871764834304099,132.3,2.20491629523612,548.74,0.940213782663736
vehicle,0.692453923761415,79.3,3.61826676763084,47.65,0
vowel,0.693939393939394,91,3.4085056529683,409.73,0
kdd1000_,0.982,7,1.3,0.94,0
kdd10000_,0.9843,20.4,2.2072830792396,498.05,0
kdd20000_,0.98495,37.6,2.57053873321315,4559.78,0
kdd30000_,0.985933333333333,45.9,2.54106515465211,8150.82,0
kdd40000_,0.9862,44.6,2.37440957328067,17064.01,0
