filename,input_rules,sel_rules,obj_value,elaps_time
prepared_data/folds/test/labor0.csv,10,set([1]),640.5,0:00:00.123894
prepared_data/folds/test/labor0.csv,11,set([1]),770.5,0:00:00.135844
prepared_data/folds/test/labor0.csv,12,set([11]),913.0,0:00:00.151817
prepared_data/folds/test/labor0.csv,13,set([11]),1067.0,0:00:00.184137
prepared_data/folds/test/labor0.csv,14,set([11]),1233.0,0:00:00.193356
prepared_data/folds/test/labor0.csv,15,set([11]),1411.0,0:00:00.215009
prepared_data/folds/test/labor0.csv,16,set([11]),1601.0,0:00:00.240488
prepared_data/folds/test/labor0.csv,17,set([11]),1803.0,0:00:00.266896
prepared_data/folds/test/labor0.csv,18,set([11]),2017.0,0:00:00.292973
prepared_data/folds/test/labor0.csv,19,set([11]),2252.5,0:00:00.328780
prepared_data/folds/test/labor0.csv,20,set([11]),2491.0,0:00:00.359587
prepared_data/folds/test/labor0.csv,30,set([11]),5536.0,0:00:00.833750
prepared_data/folds/test/labor0.csv,40,set([11]),9781.0,0:00:01.482368
prepared_data/folds/test/labor0.csv,50,set([11]),15226.0,0:00:02.476601
prepared_data/folds/test/labor0.csv,60,set([11]),21871.0,0:00:03.400296
prepared_data/folds/test/labor0.csv,70,set([11]),29716.0,0:00:05.354120
prepared_data/folds/test/labor0.csv,80,set([11]),38761.0,0:00:06.173225
prepared_data/folds/test/labor0.csv,90,set([11]),49006.0,0:00:07.636518
prepared_data/folds/test/labor0.csv,100,set([11]),60501.0,0:00:09.933942
prepared_data/folds/test/labor0.csv,200,set([11]),241001.0,0:00:48.047283
prepared_data/folds/test/labor0.csv,300,set([11]),541651.0,0:02:04.229542
prepared_data/folds/test/labor0.csv,400,set([11]),962201.0,0:04:29.733771
prepared_data/folds/test/labor0.csv,500,set([11]),1502751.0,0:07:00.557020
prepared_data/folds/test/labor0.csv,600,set([11]),2163601.0,0:09:33.185774
prepared_data/folds/test/labor0.csv,700,set([11]),2944201.0,0:14:36.594595
prepared_data/folds/test/labor0.csv,800,set([11]),3845201.0,0:19:37.378386
prepared_data/folds/test/labor0.csv,900,set([11]),4865851.0,0:22:59.822101
prepared_data/folds/test/labor0.csv,1000,set([11]),6007001.0,0:29:32.433264
