dataset,accuracy,rules,antlength,buildtime
anneal,0.984443063179018,27.4,2.31389837620872,0.43
australian,0.847765193033735,123.4,3.77833603365704,2.09
autos,0.797769060331989,57.1,2.53303927989789,0.32
breast-w,0.955609599626746,57.3,2.73155962025032,0.53
colic,0.802102102102102,106.4,2.89562307522716,0.37
credit-a,0.856610035318475,147.1,3.62192004193439,1.24
credit-g,0.744,240.3,3.47581919460503,2.24
diabetes,0.748820915926179,56.7,2.81840937165983,1.6
glass,0.685666603927473,32.2,2.83228343827535,0.3
heart-statlog,0.822222222222222,61.1,3.61399836102824,0.44
hepatitis,0.808259803921569,37.7,3.16118392376416,0.23
hypothyroid,0.968742086130007,40.9,2.70348078284792,4.01
ionosphere,0.9284360410831,57.8,1.96723253037491,0.59
iris,0.933333333333333,9.1,1.40357864357864,0.08
labor,0.893333333333333,13.3,1.64205128205128,0.1
letter,0.262886154102516,91.1,2.98796486196037,47.6
lymph,0.785357142857143,38.9,2.90824079343894,0.11
segment,0.940692640692641,184,2.70889996496226,7.19
sonar,0.739891774891775,48.6,2.76961124190786,0.59
spambase,0.931753640037339,308.5,2.20427879926936,22.91
vehicle,0.678506501207047,148.7,3.63054163584224,2.34
vowel,0.608080808080808,134.1,3.41642997281394,3.5
