"","only CBA","CBA+QCBA #1 (+ refit)","CBA+QCBA #2 (+att pruning)","CBA+QCBA #3 (+trimming)","CBA+QCBA #4 (+extension)","CBA+QCBA #5 (+postpruning)","CBA+QCBA #6 (+tran. based pruning)","CBA+QCBA #7 (+rangeBased pruning)"
"accuracy (macro average)","0.81","0.81","0.81","0.81","0.81","0.81","0.8","0.81"
"won/tie/loss","","9/6/7","9/6/7","7/7/8","8/7/7","10/9/3","7/6/9","10/9/3"
"p-value (accuracy difference)","0","0.581","0.581","0.623","0.816","0.233","0.087","0.233"
"avg number of rules","84.2","91.8","91.8","91.8","91.8","65.9","47.8","65.5"
"avg conditions / rule","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8"
"avg conditions / model","0","0","0","0","0","0","0","0"
"median build time [s]","6.2","0.2","0.2","0.3","4.7","4.8","5","5.2"
"median build time norm","1","0.02","0.04","0.05","0.76","0.77","0.81","0.83"
"mean build time [s]","10.7 +/- 3.5","0.4 +/- 0.2","1 +/- 0.4","1.1 +/- 0.5","64.2 +/- 31.2","64.2 +/- 31.1","69.1 +/- 33.5","68.2 +/- 33.2"
"mean build time norm","1","0.04","0.09","0.11","5.99","5.98","6.44","6.36"
"AUC (macro average)","0.82","0.82","0.82","0.83","0.82","0.82","0.8","0.82"
"avg conditions / model (macro)","235.3","258.7","258.7","258.7","258.7","183.6","132","182.4"
"avg conditions / model (micro)","249.6","274.5","274.5","274.5","274.5","195.2","141.6","193.9"
