filename,datasize,input_rules,sel_rules,obj_value,elaps_time
prepared_data/folds/test/labor0.csv,12,100,set([11]),120801.0,0:00:09.159272
prepared_data/folds/test/labor0.csv,24,100,set([11]),241401.0,0:00:09.196617
prepared_data/folds/test/labor0.csv,48,100,set([11]),482601.0,0:00:09.333234
prepared_data/folds/test/labor0.csv,96,100,set([11]),965001.0,0:00:09.664355
prepared_data/folds/test/labor0.csv,192,100,set([11]),1929801.0,0:00:10.190752
prepared_data/folds/test/labor0.csv,384,100,set([11]),3859401.0,0:00:11.263428
prepared_data/folds/test/labor0.csv,768,100,set([11]),7718601.0,0:00:13.409136
prepared_data/folds/test/labor0.csv,1536,100,set([11]),15437001.0,0:00:17.741543
prepared_data/folds/test/labor0.csv,3072,100,set([11]),30873801.0,0:00:26.671781
prepared_data/folds/test/labor0.csv,6144,100,set([11]),61747401.0,0:00:46.683937
prepared_data/folds/test/labor0.csv,12288,100,set([11]),123494601.0,0:01:33.607388
prepared_data/folds/test/labor0.csv,24576,100,set([11]),246989001.0,0:02:33.508361
