dataset,accuracy,rules,antlength,buildtime,auc
anneal,0.984443063179018,27.4,2.31389837620872,0.32,0
australian,0.856461454146876,123.4,3.77833603365704,0.47,0.871266014103524
autos,0.80700047219498,57.1,2.51177625620383,0.13,0
breast-w,0.954201148922521,57.2,2.70988660726069,0.15,0.955049626701801
colic,0.802030978346768,106.5,2.89009107503217,0.19,0.782618119458182
credit-a,0.856672756058945,147,3.61905746830873,0.43,0.861861577523717
credit-g,0.747,239.6,3.46684212178596,0.86,0.672827947420847
diabetes,0.757928913192071,56.7,2.81840937165983,0.32,0.788692307692308
glass,0.722842712842713,32.4,2.81512957541903,0.11,0
heart-statlog,0.833333333333333,61,3.61165422842662,0.13,0.843813131313132
hepatitis,0.801593137254902,37.6,3.15550961308984,0.09,0.634615384615385
hypothyroid,0.969274001023624,40.8,2.7030320648992,0.95,0
ionosphere,0.925494864612512,57.8,1.95005158467723,0.31,0.913244581505451
iris,0.933333333333333,9.1,1.40357864357864,0.06,0
labor,0.873333333333333,13.3,1.64205128205128,0.05,0.870833333333333
letter,0.262189716606638,91.1,2.98796486196037,4.52,0
lymph,0.799166666666667,39.2,2.87600925003364,0.07,0
segment,0.941558441558442,183,2.70679882282495,1.33,0
sonar,0.73012987012987,48.4,2.77281412306032,0.34,0.740176767676768
spambase,0.931538137046345,308.4,2.20400382788629,4.25,0.952698434367733
vehicle,0.696083785946227,149.2,3.62103096485715,0.66,0
vowel,0.649494949494949,134.2,3.41457643018604,1.16,0
