dataset,accuracy,rules,antlength,buildtime
anneal,0.984443063179018,27.4,2.31389837620872,0.36
australian,0.856461454146876,123.4,3.77833603365704,1.61
autos,0.80700047219498,57.1,2.53303927989789,0.28
breast-w,0.955609599626746,57.3,2.73155962025032,0.39
colic,0.802030978346768,106.4,2.89562307522716,0.37
credit-a,0.85665144318597,147.1,3.62192004193439,1.14
credit-g,0.747,240.3,3.47581919460503,2.02
diabetes,0.757928913192071,56.7,2.81840937165983,1.42
glass,0.717842712842713,32.2,2.83228343827535,0.27
heart-statlog,0.82962962962963,61.1,3.61399836102824,0.38
hepatitis,0.801593137254902,37.7,3.16118392376416,0.17
hypothyroid,0.969274001023624,40.9,2.70348078284792,3.36
ionosphere,0.925494864612512,57.8,1.96723253037491,0.57
iris,0.933333333333333,9.1,1.40357864357864,0.06
labor,0.873333333333333,13.3,1.64205128205128,0.1
letter,0.262189716606638,91.1,2.98796486196037,47.09
lymph,0.785357142857143,38.9,2.90824079343894,0.07
segment,0.941558441558442,184,2.70889996496226,5.87
sonar,0.73012987012987,48.6,2.76961124190786,0.49
spambase,0.931538137046345,308.5,2.20427879926936,20.14
vehicle,0.694907315357992,148.7,3.63054163584224,2.19
vowel,0.648484848484849,134.1,3.41642997281394,2.9
