dataset,accuracy,rules,antlength,buildtime,auc
anneal,0.992221947839925,27.4,2.31389837620872,16.41,0
australian,0.849171842650104,108.7,3.7611563847218,1.96,0.874692220626007
autos,0.787627583451382,56.6,2.50744263008887,12.87,0
breast-w,0.948506983932581,51.1,2.75003724056759,1.08,0.963169685990338
colic,0.791149043780623,94.8,2.87197862091075,10.15,0.784061952540213
credit-a,0.852303617099013,142.8,3.62213407395091,4.62,0.860502046058073
credit-g,0.762,167.8,3.44755159481293,12.99,0.680666666666667
diabetes,0.747470950102529,51,2.88403630441852,0.61,0.787834757834758
glass,0.723595896856766,28,2.77052017417636,0.6,0
heart-statlog,0.814814814814815,53.9,3.60176775682604,0.51,0.839166666666667
hepatitis,0.801593137254902,32.1,3.0465275142315,7.84,0.634615384615385
hypothyroid,0.98091997132404,29.1,2.41522763316312,16.67,0
ionosphere,0.922553688141924,53.6,1.93252248774646,14.66,0.91261655011655
iris,0.933333333333333,6,1.2975,0.09,0
labor,0.86,10.7,1.62150016650017,0.63,0.85
letter,0.284731833664276,90.7,2.98796423910902,2.75,0
lymph,0.799166666666667,38.4,2.91433382898841,4.24,0
segment,0.948051948051948,179.6,2.70502773011842,22.64,0
sonar,0.739891774891775,43.3,2.7854384876641,10.07,0.74655303030303
spambase,0.930886432643205,305.5,2.20591151701445,77.64,0.953093095763166
vehicle,0.692554048469841,147.3,3.61894778410617,13.35,0
vowel,0.663636363636364,134,3.41368370476692,3.62,0
