dataset,accuracy,rules,antlength,buildtime,auc
anneal,0.992221947839925,25.1,2.28014472403603,0.81,0
australian,0.866670929241262,74.4,3.76873671938942,17.28,0.886209677419355
autos,0.782989902291962,50,2.48488107797425,0.76,0
breast-w,0.948464992855685,31,2.73748012323235,0.9,0.951070048309179
colic,0.788517464833254,85.7,2.85730933694425,0.33,0.784120182353878
credit-a,0.853690171720862,111.6,3.62247525753941,10.83,0.857383875321057
credit-g,0.758,160.9,3.44126371522562,13.1,0.676261904761905
diabetes,0.769617224880383,40.1,2.97569563445364,15.45,0.784997150997151
glass,0.693098375054897,24.3,2.74357266604793,2.84,0
heart-statlog,0.811111111111111,47.4,3.61675574787531,1,0.835277777777778
hepatitis,0.820024509803921,27.7,3.03094444444444,0.19,0.646474358974359
hypothyroid,0.986488184025216,15.7,2.45059352927774,24.48,0
ionosphere,0.891834733893557,40.2,1.88227569979968,5.63,0.873780024323503
iris,0.94,5,1.22904761904762,0.07,0
labor,0.876666666666667,10.6,1.6461038961039,0.04,0.8625
letter,0.294733268404838,78.3,2.91692171050368,49.85,0
lymph,0.799166666666667,37.8,2.91358408560709,0.08,0
segment,0.951948051948052,88.8,2.64654569440261,539.11,0
sonar,0.773917748917749,34.7,2.77175158066398,4.72,0.781186868686869
spambase,0.931533886800238,247.6,2.19849494177811,467.82,0.949612781235115
vehicle,0.704348417660499,106.4,3.65937229020925,34.95,0
vowel,0.694949494949495,97,3.43582959093873,310.43,0
