dataset,accuracy,rules,antlength,buildtime,auc
anneal,0.992221947839925,25.1,2.28014472403603,0.77,0
australian,0.821549141395689,41.6,3.78061819858588,17.97,0.840002394323277
autos,0.79674249028368,44.3,2.46255147097858,0.77,0
breast-w,0.95138424751407,20,2.68713375753186,1.05,0.950243961352657
colic,0.772222222222222,54.4,2.75743642625718,0.37,0.743844561235866
credit-a,0.814259529898916,59.4,3.62233221315815,11.46,0.855585847372774
credit-g,0.761,150.8,3.42087709621293,13.25,0.680976190476191
diabetes,0.760440874914559,29.4,2.88557921682418,15.77,0.765705128205128
glass,0.68875054896794,22.1,2.75921518822565,2.89,0
heart-statlog,0.788888888888889,26.1,3.5591055683447,1.06,0.796111111111111
hepatitis,0.820024509803921,22.4,2.98707508281192,0.18,0.646474358974359
hypothyroid,0.981713648216198,14.7,2.40686602870813,24.49,0
ionosphere,0.857203548085901,21.8,1.90801893250406,5.7,0.842759957433871
iris,0.94,4.1,1.14333333333333,0.08,0
labor,0.86,7.8,1.76686507936508,0.04,0.8375
letter,0.294733268404838,78.3,2.91692171050368,51.33,0
lymph,0.799166666666667,37.8,2.91358408560709,0.07,0
segment,0.941125541125541,66.7,2.63238747253558,530.87,0
sonar,0.716991341991342,19.5,2.71890045873422,4.36,0.739078282828283
spambase,0.882202454519695,136.2,2.19790244722783,485.49,0.94289589611074
vehicle,0.69596932992388,77.3,3.61176549666344,35.91,0
vowel,0.693939393939394,90.7,3.40773386114763,316.25,0
