normalizedLosses,make,fuelType,aspiration,numOfDoors,bodyStyle,driveWheels,engineType,numOfCylinders,fuelSystem,engineLocation,wheelBase,length,width,height,curbWeight,engineSize,bore,stroke,compressionRatio,horsepower,peakRpm,cityMpg,highwayMpg,price,XClass
(96.5; Inf],alfa-romero,gas,std,two,convertible,rwd,dohc,four,mpfi,front,(88.5;92.15],(168.75;169.05],[-Inf;64.3],[-Inf;50.35],(2216.5; Inf],(103; Inf],(3.255; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;29.5],(8497; Inf],3
(96.5; Inf],alfa-romero,gas,std,two,convertible,rwd,dohc,four,mpfi,front,(88.5;92.15],(168.75;169.05],[-Inf;64.3],[-Inf;50.35],(2216.5; Inf],(103; Inf],(3.255; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;29.5],(8497; Inf],3
(96.5; Inf],alfa-romero,gas,std,two,hatchback,rwd,ohcv,six,mpfi,front,(94;94.8],(169.05;172.8],(64.3; Inf],(51.8;56.15],(2216.5; Inf],(103; Inf],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;29.5],(8497; Inf],1
(96.5; Inf],audi,gas,std,four,sedan,fwd,ohc,four,mpfi,front,(97.25;100.1],(175.65;177.55],(64.3; Inf],(51.8;56.15],(2216.5; Inf],(103; Inf],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],(29.5; Inf],(8497; Inf],2
(96.5; Inf],audi,gas,std,four,sedan,4wd,ohc,five,mpfi,front,(97.25;100.1],(175.65;177.55],(64.3; Inf],(51.8;56.15],(2216.5; Inf],(103; Inf],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;29.5],(8497; Inf],2
(96.5; Inf],audi,gas,std,two,sedan,fwd,ohc,five,mpfi,front,(97.25;100.1],(175.65;177.55],(64.3; Inf],(51.8;56.15],(2216.5; Inf],(103; Inf],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;29.5],(8497; Inf],2
(96.5; Inf],audi,gas,std,four,wagon,fwd,ohc,five,mpfi,front,(100.1; Inf],(188.9; Inf],(64.3; Inf],(51.8;56.15],(2216.5; Inf],(103; Inf],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;29.5],(8497; Inf],1
(96.5; Inf],audi,gas,turbo,four,sedan,fwd,ohc,five,mpfi,front,(100.1; Inf],(188.9; Inf],(64.3; Inf],(51.8;56.15],(2216.5; Inf],(103; Inf],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;29.5],(8497; Inf],1
(96.5; Inf],audi,gas,turbo,two,hatchback,4wd,ohc,five,mpfi,front,(97.25;100.1],(177.55;187.65],(64.3; Inf],(51.8;56.15],(2216.5; Inf],(103; Inf],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;29.5],(8497; Inf],0
(96.5; Inf],bmw,gas,std,two,sedan,rwd,ohc,four,mpfi,front,(100.1; Inf],(175.65;177.55],(64.3; Inf],(51.8;56.15],(2216.5; Inf],(103; Inf],(3.255; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;29.5],(8497; Inf],2
(96.5; Inf],bmw,gas,std,four,sedan,rwd,ohc,four,mpfi,front,(100.1; Inf],(175.65;177.55],(64.3; Inf],(51.8;56.15],(2216.5; Inf],(103; Inf],(3.255; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;29.5],(8497; Inf],0
(96.5; Inf],bmw,gas,std,two,sedan,rwd,ohc,six,mpfi,front,(100.1; Inf],(175.65;177.55],(64.3; Inf],(51.8;56.15],(2216.5; Inf],(103; Inf],(3.255; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;29.5],(8497; Inf],0
(96.5; Inf],bmw,gas,std,four,sedan,rwd,ohc,six,mpfi,front,(100.1; Inf],(188.9; Inf],(64.3; Inf],(51.8;56.15],(2216.5; Inf],(103; Inf],(3.255; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;29.5],(8497; Inf],1
(96.5; Inf],bmw,gas,std,four,sedan,rwd,ohc,six,mpfi,front,(100.1; Inf],(188.9; Inf],(64.3; Inf],(51.8;56.15],(2216.5; Inf],(103; Inf],(3.255; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;29.5],(8497; Inf],0
(96.5; Inf],bmw,gas,std,two,sedan,rwd,ohc,six,mpfi,front,(100.1; Inf],(188.9; Inf],(64.3; Inf],(51.8;56.15],(2216.5; Inf],(103; Inf],(3.255; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;29.5],(8497; Inf],0
(96.5; Inf],bmw,gas,std,four,sedan,rwd,ohc,six,mpfi,front,(100.1; Inf],(188.9; Inf],(64.3; Inf],(56.25; Inf],(2216.5; Inf],(103; Inf],(3.255; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;29.5],(8497; Inf],0
(96.5; Inf],chevrolet,gas,std,two,hatchback,fwd,l,three,2bbl,front,[-Inf;88.5],[-Inf;168.75],[-Inf;64.3],(51.8;56.15],[-Inf;2216.5],[-Inf;85],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],[-Inf;87],[-Inf; Inf],(25.5; Inf],(29.5; Inf],[-Inf;8497],2
(96.5; Inf],chevrolet,gas,std,two,hatchback,fwd,ohc,four,2bbl,front,(94;94.8],[-Inf;168.75],[-Inf;64.3],(51.8;56.15],[-Inf;2216.5],(85;103],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],[-Inf;87],[-Inf; Inf],(25.5; Inf],(29.5; Inf],[-Inf;8497],1
[-Inf;96.5],chevrolet,gas,std,four,sedan,fwd,ohc,four,2bbl,front,(94;94.8],[-Inf;168.75],[-Inf;64.3],(51.8;56.15],[-Inf;2216.5],(85;103],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],[-Inf;87],[-Inf; Inf],(25.5; Inf],(29.5; Inf],[-Inf;8497],0
(96.5; Inf],dodge,gas,std,two,hatchback,fwd,ohc,four,2bbl,front,(92.15;94],[-Inf;168.75],[-Inf;64.3],(50.35;51.8],[-Inf;2216.5],(85;103],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],[-Inf;87],[-Inf; Inf],(25.5; Inf],(29.5; Inf],[-Inf;8497],1
(96.5; Inf],dodge,gas,std,two,hatchback,fwd,ohc,four,2bbl,front,(92.15;94],[-Inf;168.75],[-Inf;64.3],(50.35;51.8],[-Inf;2216.5],(85;103],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],[-Inf;87],[-Inf; Inf],(25.5; Inf],(29.5; Inf],[-Inf;8497],1
(96.5; Inf],dodge,gas,turbo,two,hatchback,fwd,ohc,four,mpfi,front,(92.15;94],[-Inf;168.75],[-Inf;64.3],(50.35;51.8],[-Inf;2216.5],(85;103],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],(29.5; Inf],[-Inf;8497],1
(96.5; Inf],dodge,gas,std,four,hatchback,fwd,ohc,four,2bbl,front,(92.15;94],[-Inf;168.75],[-Inf;64.3],(50.35;51.8],[-Inf;2216.5],(85;103],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],[-Inf;87],[-Inf; Inf],(25.5; Inf],(29.5; Inf],[-Inf;8497],1
(96.5; Inf],dodge,gas,std,four,sedan,fwd,ohc,four,2bbl,front,(92.15;94],[-Inf;168.75],[-Inf;64.3],(50.35;51.8],[-Inf;2216.5],(85;103],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],[-Inf;87],[-Inf; Inf],(25.5; Inf],(29.5; Inf],[-Inf;8497],1
(96.5; Inf],dodge,gas,std,four,sedan,fwd,ohc,four,2bbl,front,(92.15;94],[-Inf;168.75],[-Inf;64.3],(50.35;51.8],[-Inf;2216.5],(85;103],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],[-Inf;87],[-Inf; Inf],(25.5; Inf],(29.5; Inf],[-Inf;8497],1
(96.5; Inf],dodge,gas,turbo,,sedan,fwd,ohc,four,mpfi,front,(92.15;94],[-Inf;168.75],[-Inf;64.3],(50.35;51.8],[-Inf;2216.5],(85;103],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],(29.5; Inf],(8497; Inf],1
(96.5; Inf],dodge,gas,std,four,wagon,fwd,ohc,four,2bbl,front,(100.1; Inf],(173.3;175.5],(64.3; Inf],(56.25; Inf],(2216.5; Inf],(103; Inf],(3.255; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],(29.5; Inf],(8497; Inf],-1
(96.5; Inf],dodge,gas,turbo,two,hatchback,fwd,ohc,four,mfi,front,(95.5;97.25],(172.8;173.3],(64.3; Inf],[-Inf;50.35],(2216.5; Inf],(103; Inf],(3.255; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;29.5],(8497; Inf],3
(96.5; Inf],honda,gas,std,two,hatchback,fwd,ohc,four,1bbl,front,[-Inf;88.5],[-Inf;168.75],[-Inf;64.3],(50.35;51.8],[-Inf;2216.5],(85;103],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],[-Inf;87],[-Inf; Inf],(25.5; Inf],(29.5; Inf],[-Inf;8497],2
(96.5; Inf],honda,gas,std,two,hatchback,fwd,ohc,four,1bbl,front,[-Inf;88.5],[-Inf;168.75],[-Inf;64.3],(50.35;51.8],[-Inf;2216.5],(85;103],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],[-Inf;87],[-Inf; Inf],(25.5; Inf],(29.5; Inf],[-Inf;8497],2
(96.5; Inf],honda,gas,std,two,hatchback,fwd,ohc,four,1bbl,front,(92.15;94],[-Inf;168.75],[-Inf;64.3],(51.8;56.15],[-Inf;2216.5],[-Inf;85],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],[-Inf;87],[-Inf; Inf],(25.5; Inf],(29.5; Inf],[-Inf;8497],1
(96.5; Inf],honda,gas,std,two,hatchback,fwd,ohc,four,1bbl,front,(92.15;94],[-Inf;168.75],[-Inf;64.3],(51.8;56.15],[-Inf;2216.5],(85;103],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],[-Inf;87],[-Inf; Inf],(25.5; Inf],(29.5; Inf],[-Inf;8497],1
(96.5; Inf],honda,gas,std,two,hatchback,fwd,ohc,four,1bbl,front,(92.15;94],[-Inf;168.75],[-Inf;64.3],(51.8;56.15],[-Inf;2216.5],(85;103],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],[-Inf;87],[-Inf; Inf],(25.5; Inf],(29.5; Inf],[-Inf;8497],1
(96.5; Inf],honda,gas,std,four,sedan,fwd,ohc,four,1bbl,front,(95.5;97.25],[-Inf;168.75],[-Inf;64.3],(51.8;56.15],[-Inf;2216.5],(85;103],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],[-Inf;87],[-Inf; Inf],(25.5; Inf],(29.5; Inf],[-Inf;8497],0
[-Inf;96.5],honda,gas,std,four,wagon,fwd,ohc,four,1bbl,front,(95.5;97.25],[-Inf;168.75],[-Inf;64.3],(56.25; Inf],[-Inf;2216.5],(85;103],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],[-Inf;87],[-Inf; Inf],(25.5; Inf],(29.5; Inf],[-Inf;8497],0
(96.5; Inf],honda,gas,std,two,hatchback,fwd,ohc,four,1bbl,front,(95.5;97.25],[-Inf;168.75],(64.3; Inf],(51.8;56.15],(2216.5; Inf],(103; Inf],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],[-Inf;87],[-Inf; Inf],(25.5; Inf],(29.5; Inf],[-Inf;8497],0
(96.5; Inf],honda,gas,std,two,hatchback,fwd,ohc,four,1bbl,front,(95.5;97.25],[-Inf;168.75],(64.3; Inf],(51.8;56.15],(2216.5; Inf],(103; Inf],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],[-Inf;87],[-Inf; Inf],(25.5; Inf],(29.5; Inf],(8497; Inf],0
[-Inf;96.5],honda,gas,std,four,sedan,fwd,ohc,four,1bbl,front,(95.5;97.25],(173.3;175.5],(64.3; Inf],(51.8;56.15],(2216.5; Inf],(103; Inf],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],[-Inf;87],[-Inf; Inf],(25.5; Inf],(29.5; Inf],(8497; Inf],0
[-Inf;96.5],honda,gas,std,four,sedan,fwd,ohc,four,1bbl,front,(95.5;97.25],(173.3;175.5],[-Inf;64.3],(51.8;56.15],(2216.5; Inf],(103; Inf],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],[-Inf;87],[-Inf; Inf],(25.5; Inf],(29.5; Inf],(8497; Inf],0
[-Inf;96.5],honda,gas,std,four,sedan,fwd,ohc,four,mpfi,front,(95.5;97.25],(173.3;175.5],(64.3; Inf],(51.8;56.15],(2216.5; Inf],(103; Inf],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;29.5],(8497; Inf],0
(96.5; Inf],honda,gas,std,two,sedan,fwd,ohc,four,2bbl,front,(95.5;97.25],(169.05;172.8],(64.3; Inf],(50.35;51.8],(2216.5; Inf],(103; Inf],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],(29.5; Inf],(8497; Inf],1
(96.5; Inf],isuzu,gas,std,four,sedan,rwd,ohc,four,2bbl,front,(94;94.8],(169.05;172.8],[-Inf;64.3],(51.8;56.15],(2216.5; Inf],(103; Inf],(3.255; Inf],[-Inf; Inf],[-Inf; Inf],[-Inf;87],[-Inf; Inf],[-Inf;25.5],[-Inf;29.5],[-Inf;8497],0
(96.5; Inf],isuzu,gas,std,four,sedan,fwd,ohc,four,2bbl,front,(94;94.8],[-Inf;168.75],[-Inf;64.3],(51.8;56.15],[-Inf;2216.5],(85;103],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],[-Inf;87],[-Inf; Inf],(25.5; Inf],(29.5; Inf],(8497; Inf],0
(96.5; Inf],isuzu,gas,std,two,hatchback,rwd,ohc,four,spfi,front,(95.5;97.25],(169.05;172.8],(64.3; Inf],(50.35;51.8],(2216.5; Inf],(103; Inf],(3.255; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;29.5],(8497; Inf],2
(96.5; Inf],jaguar,gas,std,four,sedan,rwd,dohc,six,mpfi,front,(100.1; Inf],(188.9; Inf],(64.3; Inf],(51.8;56.15],(2216.5; Inf],(103; Inf],(3.255; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;29.5],(8497; Inf],0
(96.5; Inf],jaguar,gas,std,two,sedan,rwd,ohcv,twelve,mpfi,front,(100.1; Inf],(188.9; Inf],(64.3; Inf],[-Inf;50.35],(2216.5; Inf],(103; Inf],(3.255; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;29.5],(8497; Inf],0
(96.5; Inf],mazda,gas,std,two,hatchback,fwd,ohc,four,2bbl,front,(92.15;94],[-Inf;168.75],[-Inf;64.3],(51.8;56.15],[-Inf;2216.5],(85;103],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],[-Inf;87],[-Inf; Inf],(25.5; Inf],(29.5; Inf],[-Inf;8497],1
(96.5; Inf],mazda,gas,std,two,hatchback,fwd,ohc,four,2bbl,front,(92.15;94],[-Inf;168.75],[-Inf;64.3],(51.8;56.15],[-Inf;2216.5],(85;103],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],[-Inf;87],[-Inf; Inf],(25.5; Inf],(29.5; Inf],[-Inf;8497],1
(96.5; Inf],mazda,gas,std,two,hatchback,fwd,ohc,four,2bbl,front,(92.15;94],[-Inf;168.75],[-Inf;64.3],(51.8;56.15],[-Inf;2216.5],(85;103],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],[-Inf;87],[-Inf; Inf],(25.5; Inf],(29.5; Inf],[-Inf;8497],1
(96.5; Inf],mazda,gas,std,four,sedan,fwd,ohc,four,2bbl,front,(92.15;94],[-Inf;168.75],[-Inf;64.3],(51.8;56.15],[-Inf;2216.5],(85;103],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],[-Inf;87],[-Inf; Inf],(25.5; Inf],(29.5; Inf],[-Inf;8497],1
(96.5; Inf],mazda,gas,std,four,sedan,fwd,ohc,four,2bbl,front,(92.15;94],[-Inf;168.75],[-Inf;64.3],(51.8;56.15],[-Inf;2216.5],(85;103],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],[-Inf;87],[-Inf; Inf],(25.5; Inf],(29.5; Inf],[-Inf;8497],1
(96.5; Inf],mazda,gas,std,two,hatchback,rwd,rotor,two,4bbl,front,(95.2;95.5],(168.75;169.05],(64.3; Inf],[-Inf;50.35],(2216.5; Inf],[-Inf;85],(3.255; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;29.5],(8497; Inf],3
(96.5; Inf],mazda,gas,std,two,hatchback,rwd,rotor,two,4bbl,front,(95.2;95.5],(168.75;169.05],(64.3; Inf],[-Inf;50.35],(2216.5; Inf],[-Inf;85],(3.255; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;29.5],(8497; Inf],3
(96.5; Inf],mazda,gas,std,two,hatchback,rwd,rotor,two,4bbl,front,(95.2;95.5],(168.75;169.05],(64.3; Inf],[-Inf;50.35],(2216.5; Inf],[-Inf;85],(3.255; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;29.5],(8497; Inf],3
(96.5; Inf],mazda,gas,std,two,hatchback,rwd,rotor,two,mpfi,front,(95.2;95.5],(168.75;169.05],(64.3; Inf],[-Inf;50.35],(2216.5; Inf],[-Inf;85],(3.255; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;29.5],(8497; Inf],3
(96.5; Inf],mazda,gas,std,two,hatchback,fwd,ohc,four,2bbl,front,(97.25;100.1],(177.55;187.65],(64.3; Inf],(51.8;56.15],(2216.5; Inf],(103; Inf],(3.255; Inf],[-Inf; Inf],[-Inf; Inf],[-Inf;87],[-Inf; Inf],(25.5; Inf],(29.5; Inf],(8497; Inf],1
(96.5; Inf],mazda,gas,std,four,sedan,fwd,ohc,four,2bbl,front,(97.25;100.1],(177.55;187.65],(64.3; Inf],(51.8;56.15],(2216.5; Inf],(103; Inf],(3.255; Inf],[-Inf; Inf],[-Inf; Inf],[-Inf;87],[-Inf; Inf],(25.5; Inf],(29.5; Inf],[-Inf;8497],0
(96.5; Inf],mazda,gas,std,two,hatchback,fwd,ohc,four,2bbl,front,(97.25;100.1],(177.55;187.65],(64.3; Inf],(51.8;56.15],(2216.5; Inf],(103; Inf],(3.255; Inf],[-Inf; Inf],[-Inf; Inf],[-Inf;87],[-Inf; Inf],(25.5; Inf],(29.5; Inf],(8497; Inf],1
(96.5; Inf],mazda,diesel,std,,sedan,fwd,ohc,four,idi,front,(97.25;100.1],(177.55;187.65],(64.3; Inf],(51.8;56.15],(2216.5; Inf],(103; Inf],(3.255; Inf],[-Inf; Inf],[-Inf; Inf],[-Inf;87],[-Inf; Inf],(25.5; Inf],(29.5; Inf],(8497; Inf],0
(96.5; Inf],mazda,gas,std,four,hatchback,fwd,ohc,four,2bbl,front,(97.25;100.1],(177.55;187.65],(64.3; Inf],(51.8;56.15],(2216.5; Inf],(103; Inf],(3.255; Inf],[-Inf; Inf],[-Inf; Inf],[-Inf;87],[-Inf; Inf],(25.5; Inf],(29.5; Inf],(8497; Inf],0
(96.5; Inf],mazda,gas,std,four,sedan,rwd,ohc,four,mpfi,front,(100.1; Inf],(173.3;175.5],(64.3; Inf],(51.8;56.15],(2216.5; Inf],(103; Inf],(3.255; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;29.5],(8497; Inf],0
(96.5; Inf],mazda,diesel,std,four,sedan,rwd,ohc,four,idi,front,(100.1; Inf],(173.3;175.5],(64.3; Inf],(51.8;56.15],(2216.5; Inf],(103; Inf],(3.255; Inf],[-Inf; Inf],[-Inf; Inf],[-Inf;87],[-Inf; Inf],(25.5; Inf],(29.5; Inf],(8497; Inf],0
[-Inf;96.5],mercedes-benz,diesel,turbo,four,sedan,rwd,ohc,five,idi,front,(100.1; Inf],(188.9; Inf],(64.3; Inf],(56.25; Inf],(2216.5; Inf],(103; Inf],(3.255; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;29.5],(8497; Inf],-1
[-Inf;96.5],mercedes-benz,diesel,turbo,four,wagon,rwd,ohc,five,idi,front,(100.1; Inf],(188.9; Inf],(64.3; Inf],(56.25; Inf],(2216.5; Inf],(103; Inf],(3.255; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;29.5],(8497; Inf],-1
[-Inf;96.5],mercedes-benz,diesel,turbo,two,hardtop,rwd,ohc,five,idi,front,(100.1; Inf],(177.55;187.65],(64.3; Inf],(51.8;56.15],(2216.5; Inf],(103; Inf],(3.255; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;29.5],(8497; Inf],0
[-Inf;96.5],mercedes-benz,diesel,turbo,four,sedan,rwd,ohc,five,idi,front,(100.1; Inf],(188.9; Inf],(64.3; Inf],(56.25; Inf],(2216.5; Inf],(103; Inf],(3.255; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;29.5],(8497; Inf],-1
(96.5; Inf],mercedes-benz,gas,std,four,sedan,rwd,ohcv,eight,mpfi,front,(100.1; Inf],(188.9; Inf],(64.3; Inf],(56.25; Inf],(2216.5; Inf],(103; Inf],(3.255; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;29.5],(8497; Inf],-1
