normalizedLosses,make,fuelType,aspiration,numOfDoors,bodyStyle,driveWheels,engineType,numOfCylinders,fuelSystem,engineLocation,wheelBase,length,width,height,curbWeight,engineSize,bore,stroke,compressionRatio,horsepower,peakRpm,cityMpg,highwayMpg,price,XClass
(116.5; Inf],alfa-romero,gas,std,two,convertible,rwd,dohc,four,mpfi,front,(88.5;92.15],(168.75;169.05],[-Inf;64.3],[-Inf;50.35],(2216.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;29.5],(8497; Inf],3
(116.5; Inf],alfa-romero,gas,std,two,hatchback,rwd,ohcv,six,mpfi,front,(94;94.8],(169.05;186.65],(64.3; Inf],(50.35;52.45],(2216.5; Inf],(105.5; Inf],[-Inf;3.16],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;29.5],(8497; Inf],1
(116.5; Inf],audi,gas,std,four,sedan,fwd,ohc,four,mpfi,front,(97.25;100.1],(169.05;186.65],(64.3; Inf],(52.45;55.55],(2216.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],(29.5; Inf],(8497; Inf],2
(116.5; Inf],audi,gas,std,four,sedan,4wd,ohc,five,mpfi,front,(97.25;100.1],(169.05;186.65],(64.3; Inf],(52.45;55.55],(2216.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;29.5],(8497; Inf],2
(116.5; Inf],audi,gas,std,four,sedan,fwd,ohc,five,mpfi,front,(100.1; Inf],(186.65; Inf],(64.3; Inf],(55.55;56.15],(2216.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;29.5],(8497; Inf],1
(116.5; Inf],audi,gas,std,four,wagon,fwd,ohc,five,mpfi,front,(100.1; Inf],(186.65; Inf],(64.3; Inf],(55.55;56.15],(2216.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;29.5],(8497; Inf],1
(116.5; Inf],audi,gas,turbo,four,sedan,fwd,ohc,five,mpfi,front,(100.1; Inf],(186.65; Inf],(64.3; Inf],(55.55;56.15],(2216.5; Inf],(105.5; Inf],[-Inf;3.16],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;29.5],(8497; Inf],1
(116.5; Inf],audi,gas,turbo,two,hatchback,4wd,ohc,five,mpfi,front,(97.25;100.1],(169.05;186.65],(64.3; Inf],(50.35;52.45],(2216.5; Inf],(105.5; Inf],[-Inf;3.16],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;29.5],(8497; Inf],0
(116.5; Inf],bmw,gas,std,two,sedan,rwd,ohc,four,mpfi,front,(100.1; Inf],(169.05;186.65],(64.3; Inf],(52.45;55.55],(2216.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;29.5],(8497; Inf],2
(116.5; Inf],bmw,gas,std,four,sedan,rwd,ohc,four,mpfi,front,(100.1; Inf],(169.05;186.65],(64.3; Inf],(52.45;55.55],(2216.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;29.5],(8497; Inf],0
(116.5; Inf],bmw,gas,std,two,sedan,rwd,ohc,six,mpfi,front,(100.1; Inf],(169.05;186.65],(64.3; Inf],(52.45;55.55],(2216.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;29.5],(8497; Inf],0
