duration,wage.increase.first.year,wage.increase.second.year,wage.increase.third.year,cost.of.living.adjustment,working.hours,pension,standby.pay,shift.differential,education.allowance,statutory.holidays,vacation,longterm.disability.assistance,contribution.to.dental.plan,bereavement.assistance,contribution.to.health.plan,class
[-Inf; Inf],(2.9; Inf],(3.46585365853; Inf],[-Inf; Inf],,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],average,,,yes,,good
[-Inf; Inf],(2.9; Inf],(3.46585365853; Inf],[-Inf; Inf],,[-Inf; Inf],ret_allw,[-Inf; Inf],[-Inf; Inf],yes,[-Inf; Inf],below_average,,full,,full,good
[-Inf; Inf],(2.9; Inf],(3.46585365853; Inf],[-Inf; Inf],,[-Inf; Inf],empl_contr,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],generous,yes,half,yes,half,good
[-Inf; Inf],(2.9; Inf],(3.46585365853; Inf],[-Inf; Inf],tc,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],yes,[-Inf; Inf],,,,yes,,good
[-Inf; Inf],(2.9; Inf],(3.46585365853; Inf],[-Inf; Inf],,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],average,,half,yes,half,good
[-Inf; Inf],[-Inf;2.9],[-Inf;3.46585365853],[-Inf; Inf],,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],yes,[-Inf; Inf],average,,,,,good
[-Inf; Inf],(2.9; Inf],(3.46585365853; Inf],[-Inf; Inf],tc,[-Inf; Inf],empl_contr,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],generous,yes,none,yes,half,good
[-Inf; Inf],(2.9; Inf],(3.46585365853; Inf],[-Inf; Inf],,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],below_average,,,,,good
[-Inf; Inf],(2.9; Inf],(3.46585365853; Inf],[-Inf; Inf],,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],yes,[-Inf; Inf],below_average,yes,half,yes,,good
[-Inf; Inf],(2.9; Inf],(3.46585365853; Inf],[-Inf; Inf],none,[-Inf; Inf],empl_contr,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],generous,yes,full,,,good
[-Inf; Inf],(2.9; Inf],(3.46585365853; Inf],[-Inf; Inf],none,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],generous,,,yes,full,good
[-Inf; Inf],(2.9; Inf],(3.46585365853; Inf],[-Inf; Inf],,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],,,full,,,good
[-Inf; Inf],(2.9; Inf],(3.46585365853; Inf],[-Inf; Inf],none,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],no,[-Inf; Inf],below_average,no,half,,half,bad
