Speaker.Number,Sex,Feature.0,Feature.1,Feature.2,Feature.3,Feature.4,Feature.5,Feature.6,Feature.7,Feature.8,Feature.9,Class
Andrew,Male,(-3.355;-3.0185],(-0.1235;0.519],[-Inf;0.4725],(0.829; Inf],(-0.396;0.5035],(1.451; Inf],(-0.6575;0.4795],(0.0765; Inf],[-Inf;0.122],(-0.976; Inf],hId
Andrew,Male,(-2.3195;-1.557],(0.519;1.1855],[-Inf;0.4725],(0.0525;0.829],(-1.104;-0.396],(1.451; Inf],(-0.6575;0.4795],(0.0765; Inf],[-Inf;0.122],(-0.976; Inf],hEd
Andrew,Male,(-2.3195;-1.557],(1.1855;2.1435],[-Inf;0.4725],(0.829; Inf],(-1.104;-0.396],[-Inf;1.2425],(-0.6575;0.4795],(0.0765; Inf],[-Inf;0.122],(-0.976; Inf],hAd
Andrew,Male,(-3.0185;-2.3195],(1.1855;2.1435],[-Inf;0.4725],(0.829; Inf],[-Inf;-1.104],[-Inf;1.2425],(-0.6575;0.4795],(-0.69;0.0765],(0.122; Inf],(-0.976; Inf],hYd
Andrew,Male,(-3.0185;-2.3195],(1.1855;2.1435],[-Inf;0.4725],(0.0525;0.829],[-Inf;-1.104],[-Inf;1.2425],(-0.6575;0.4795],(-0.69;0.0765],(0.122; Inf],(-0.976; Inf],had
Andrew,Male,(-3.7375;-3.355],(2.1435;3.0665],[-Inf;0.4725],(0.829; Inf],[-Inf;-1.104],[-Inf;1.2425],(-0.6575;0.4795],(0.0765; Inf],(0.122; Inf],(-0.976; Inf],hOd
Andrew,Male,(-4.2625;-3.7375],(2.1435;3.0665],[-Inf;0.4725],(0.829; Inf],[-Inf;-1.104],[-Inf;1.2425],(-0.6575;0.4795],(0.0765; Inf],(0.122; Inf],(-0.976; Inf],hod
Andrew,Male,(-3.7375;-3.355],(1.1855;2.1435],[-Inf;0.4725],(0.829; Inf],(-0.396;0.5035],(1.451; Inf],(-0.6575;0.4795],(0.0765; Inf],[-Inf;0.122],(-0.976; Inf],hud
Andrew,Male,(-3.355;-3.0185],(1.1855;2.1435],[-Inf;0.4725],(0.0525;0.829],(-1.104;-0.396],(1.2425;1.451],(-0.6575;0.4795],(0.0765; Inf],[-Inf;0.122],(-0.976; Inf],hed
Andrew,Male,(-3.7375;-3.355],(-0.1235;0.519],[-Inf;0.4725],(0.829; Inf],(-0.396;0.5035],(1.451; Inf],(-0.6575;0.4795],(0.0765; Inf],[-Inf;0.122],(-0.976; Inf],hid
Andrew,Male,(-3.355;-3.0185],(-0.1235;0.519],[-Inf;0.4725],(0.829; Inf],(-0.396;0.5035],(1.451; Inf],(-0.6575;0.4795],(0.0765; Inf],[-Inf;0.122],(-0.976; Inf],hId
Andrew,Male,(-2.3195;-1.557],(0.519;1.1855],[-Inf;0.4725],(0.0525;0.829],(-1.104;-0.396],(1.451; Inf],(-0.6575;0.4795],(0.0765; Inf],[-Inf;0.122],(-0.976; Inf],hEd
Andrew,Male,(-2.3195;-1.557],(1.1855;2.1435],[-Inf;0.4725],(0.829; Inf],(-1.104;-0.396],[-Inf;1.2425],(-0.6575;0.4795],(-0.69;0.0765],[-Inf;0.122],(-0.976; Inf],hAd
Andrew,Male,(-3.0185;-2.3195],(2.1435;3.0665],[-Inf;0.4725],(0.829; Inf],[-Inf;-1.104],[-Inf;1.2425],(-0.6575;0.4795],(-0.69;0.0765],(0.122; Inf],(-0.976; Inf],hYd
Andrew,Male,(-3.7375;-3.355],(2.1435;3.0665],[-Inf;0.4725],(0.829; Inf],[-Inf;-1.104],[-Inf;1.2425],(-0.6575;0.4795],(0.0765; Inf],(0.122; Inf],(-0.976; Inf],hOd
Andrew,Male,(-4.2625;-3.7375],(2.1435;3.0665],[-Inf;0.4725],(0.829; Inf],[-Inf;-1.104],[-Inf;1.2425],(-0.6575;0.4795],(0.0765; Inf],(0.122; Inf],(-0.976; Inf],hod
Andrew,Male,(-4.2625;-3.7375],(1.1855;2.1435],[-Inf;0.4725],(0.0525;0.829],(-1.104;-0.396],(1.451; Inf],(-0.6575;0.4795],(0.0765; Inf],(0.122; Inf],(-0.976; Inf],hUd
