X,duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,labels
(149662;344291.5],[-Inf;0.5],b'icmp',b'ecr_i',b'SF',(500;1040],[-Inf;18],0,0,0,[-Inf;0.5],0,0,0,0,0,0,0,0,0,0,0,0,(366; Inf],(158; Inf],[-Inf;0.005],[-Inf;0.75],[-Inf;0.005],[-Inf;0.02],(0.67; Inf],[-Inf;0.035],[-Inf;0.005],(254; Inf],(254.5; Inf],(0.995; Inf],[-Inf;0.005],(0.995; Inf],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],smurf.
(128546;136425.5],[-Inf;0.5],b'icmp',b'ecr_i',b'SF',(500;1040],[-Inf;18],0,0,0,[-Inf;0.5],0,0,0,0,0,0,0,0,0,0,0,0,(366; Inf],(158; Inf],[-Inf;0.005],[-Inf;0.75],[-Inf;0.005],[-Inf;0.02],(0.67; Inf],[-Inf;0.035],[-Inf;0.005],(254; Inf],(254.5; Inf],(0.995; Inf],[-Inf;0.005],(0.995; Inf],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],smurf.
[-Inf;43023.5],[-Inf;0.5],b'tcp',b'http',b'SF',(29;500],(18;8206],0,0,0,[-Inf;0.5],0,1,0,0,0,0,0,0,0,0,0,0,[-Inf;10.5],[-Inf;3.5],[-Inf;0.005],[-Inf;0.75],[-Inf;0.005],[-Inf;0.02],(0.67; Inf],[-Inf;0.035],[-Inf;0.005],[-Inf;254],(254.5; Inf],(0.995; Inf],[-Inf;0.005],(0.005;0.995],(0.005; Inf],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],normal.
(480226; Inf],[-Inf;0.5],b'tcp',b'http',b'SF',(29;500],(18;8206],0,0,0,[-Inf;0.5],0,1,0,0,0,0,0,0,0,0,0,0,[-Inf;10.5],(3.5;25.5],[-Inf;0.005],[-Inf;0.75],[-Inf;0.005],[-Inf;0.02],(0.67; Inf],[-Inf;0.035],[-Inf;0.005],[-Inf;254],(254.5; Inf],(0.995; Inf],[-Inf;0.005],(0.005;0.995],(0.005; Inf],[-Inf;0.005],[-Inf;0.005],(0.005;0.695],(0.005;0.995],normal.
(149662;344291.5],[-Inf;0.5],b'icmp',b'ecr_i',b'SF',(500;1040],[-Inf;18],0,0,0,[-Inf;0.5],0,0,0,0,0,0,0,0,0,0,0,0,(366; Inf],(158; Inf],[-Inf;0.005],[-Inf;0.75],[-Inf;0.005],[-Inf;0.02],(0.67; Inf],[-Inf;0.035],[-Inf;0.005],(254; Inf],(254.5; Inf],(0.995; Inf],[-Inf;0.005],(0.995; Inf],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],smurf.
[-Inf;43023.5],[-Inf;0.5],b'tcp',b'http',b'SF',(29;500],(8490.5; Inf],0,0,0,[-Inf;0.5],0,1,0,0,0,0,0,0,0,0,0,0,[-Inf;10.5],(3.5;25.5],[-Inf;0.005],[-Inf;0.75],[-Inf;0.005],[-Inf;0.02],(0.67; Inf],[-Inf;0.035],(0.005; Inf],[-Inf;254],(254.5; Inf],(0.995; Inf],[-Inf;0.005],(0.005;0.995],(0.005; Inf],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],normal.
(149662;344291.5],[-Inf;0.5],b'icmp',b'ecr_i',b'SF',(500;1040],[-Inf;18],0,0,0,[-Inf;0.5],0,0,0,0,0,0,0,0,0,0,0,0,(366; Inf],(158; Inf],[-Inf;0.005],[-Inf;0.75],[-Inf;0.005],[-Inf;0.02],(0.67; Inf],[-Inf;0.035],[-Inf;0.005],(254; Inf],(254.5; Inf],(0.995; Inf],[-Inf;0.005],(0.995; Inf],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],smurf.
(73846;91231],[-Inf;0.5],b'tcp',b'http',b'SF',(29;500],(18;8206],0,0,0,[-Inf;0.5],0,1,0,0,0,0,0,0,0,0,0,0,[-Inf;10.5],(25.5;158],[-Inf;0.005],[-Inf;0.75],[-Inf;0.005],[-Inf;0.02],(0.67; Inf],[-Inf;0.035],(0.005; Inf],(254; Inf],(254.5; Inf],(0.995; Inf],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],normal.
(149662;344291.5],[-Inf;0.5],b'icmp',b'ecr_i',b'SF',(500;1040],[-Inf;18],0,0,0,[-Inf;0.5],0,0,0,0,0,0,0,0,0,0,0,0,(366; Inf],(158; Inf],[-Inf;0.005],[-Inf;0.75],[-Inf;0.005],[-Inf;0.02],(0.67; Inf],[-Inf;0.035],[-Inf;0.005],(254; Inf],(254.5; Inf],(0.995; Inf],[-Inf;0.005],(0.995; Inf],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],smurf.
(136425.5;149662],[-Inf;0.5],b'tcp',b'smtp',b'SF',(1040;33722.5],(18;8206],0,0,0,[-Inf;0.5],0,1,0,0,0,0,0,0,0,0,0,0,[-Inf;10.5],[-Inf;3.5],[-Inf;0.005],[-Inf;0.75],[-Inf;0.005],[-Inf;0.02],(0.67; Inf],[-Inf;0.035],(0.005; Inf],[-Inf;254],(27;254.5],(0.105;0.995],(0.005;0.045],[-Inf;0.005],(0.005; Inf],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],normal.
(149662;344291.5],[-Inf;0.5],b'icmp',b'ecr_i',b'SF',(500;1040],[-Inf;18],0,0,0,[-Inf;0.5],0,0,0,0,0,0,0,0,0,0,0,0,(366; Inf],(158; Inf],[-Inf;0.005],[-Inf;0.75],[-Inf;0.005],[-Inf;0.02],(0.67; Inf],[-Inf;0.035],[-Inf;0.005],(254; Inf],(254.5; Inf],(0.995; Inf],[-Inf;0.005],(0.995; Inf],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],smurf.
(149662;344291.5],[-Inf;0.5],b'icmp',b'ecr_i',b'SF',(500;1040],[-Inf;18],0,0,0,[-Inf;0.5],0,0,0,0,0,0,0,0,0,0,0,0,(366; Inf],(158; Inf],[-Inf;0.005],[-Inf;0.75],[-Inf;0.005],[-Inf;0.02],(0.67; Inf],[-Inf;0.035],[-Inf;0.005],(254; Inf],(254.5; Inf],(0.995; Inf],[-Inf;0.005],(0.995; Inf],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],smurf.
(52035.5;53349.5],[-Inf;0.5],b'tcp',b'http',b'REJ',[-Inf;3.5],[-Inf;18],0,0,0,[-Inf;0.5],0,0,0,0,0,0,0,0,0,0,0,0,[-Inf;10.5],[-Inf;3.5],[-Inf;0.005],[-Inf;0.75],(0.98; Inf],(0.02; Inf],(0.67; Inf],[-Inf;0.035],[-Inf;0.005],[-Inf;254],(254.5; Inf],(0.995; Inf],[-Inf;0.005],(0.005;0.995],(0.005; Inf],[-Inf;0.005],[-Inf;0.005],(0.695; Inf],(0.995; Inf],normal.
[-Inf;43023.5],[-Inf;0.5],b'tcp',b'http',b'SF',(29;500],(8490.5; Inf],0,0,0,[-Inf;0.5],0,1,0,0,0,0,0,0,0,0,0,0,[-Inf;10.5],(3.5;25.5],[-Inf;0.005],[-Inf;0.75],[-Inf;0.005],[-Inf;0.02],(0.67; Inf],[-Inf;0.035],(0.005; Inf],[-Inf;254],(254.5; Inf],(0.995; Inf],[-Inf;0.005],(0.005;0.995],(0.005; Inf],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],normal.
(349756;395938],[-Inf;0.5],b'tcp',b'private',b'S0',[-Inf;3.5],[-Inf;18],0,0,0,[-Inf;0.5],0,0,0,0,0,0,0,0,0,0,0,0,(71.5;366],(3.5;25.5],(0.745; Inf],(0.75; Inf],[-Inf;0.005],[-Inf;0.02],(0.005;0.67],(0.035;0.48],[-Inf;0.005],(254; Inf],(1.5;27],(0.005;0.105],(0.005;0.045],[-Inf;0.005],[-Inf;0.005],(0.9; Inf],(0.51; Inf],[-Inf;0.005],[-Inf;0.005],neptune.
(149662;344291.5],[-Inf;0.5],b'icmp',b'ecr_i',b'SF',(500;1040],[-Inf;18],0,0,0,[-Inf;0.5],0,0,0,0,0,0,0,0,0,0,0,0,(366; Inf],(158; Inf],[-Inf;0.005],[-Inf;0.75],[-Inf;0.005],[-Inf;0.02],(0.67; Inf],[-Inf;0.035],[-Inf;0.005],(254; Inf],(254.5; Inf],(0.995; Inf],[-Inf;0.005],(0.995; Inf],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],smurf.
(53349.5;73846],[-Inf;0.5],b'tcp',b'printer',b'S0',[-Inf;3.5],[-Inf;18],0,0,0,[-Inf;0.5],0,0,0,0,0,0,0,0,0,0,0,0,(71.5;366],(3.5;25.5],(0.745; Inf],(0.75; Inf],[-Inf;0.005],[-Inf;0.02],(0.005;0.67],(0.035;0.48],[-Inf;0.005],(254; Inf],(1.5;27],(0.005;0.105],(0.045;0.11],[-Inf;0.005],[-Inf;0.005],(0.9; Inf],(0.51; Inf],[-Inf;0.005],[-Inf;0.005],neptune.
(53349.5;73846],[-Inf;0.5],b'tcp',b'private',b'S0',[-Inf;3.5],[-Inf;18],0,0,0,[-Inf;0.5],0,0,0,0,0,0,0,0,0,0,0,0,(71.5;366],(3.5;25.5],(0.745; Inf],(0.75; Inf],[-Inf;0.005],[-Inf;0.02],(0.005;0.67],(0.035;0.48],[-Inf;0.005],(254; Inf],(1.5;27],(0.005;0.105],(0.045;0.11],[-Inf;0.005],[-Inf;0.005],(0.9; Inf],(0.51; Inf],[-Inf;0.005],[-Inf;0.005],neptune.
(107632.5;128546],[-Inf;0.5],b'tcp',b'private',b'S0',[-Inf;3.5],[-Inf;18],0,0,0,[-Inf;0.5],0,0,0,0,0,0,0,0,0,0,0,0,(71.5;366],[-Inf;3.5],(0.745; Inf],(0.75; Inf],[-Inf;0.005],[-Inf;0.02],(0.005;0.67],(0.035;0.48],[-Inf;0.005],(254; Inf],(1.5;27],(0.005;0.105],(0.045;0.11],[-Inf;0.005],[-Inf;0.005],(0.9; Inf],(0.51; Inf],[-Inf;0.005],[-Inf;0.005],neptune.
(53349.5;73846],[-Inf;0.5],b'tcp',b'private',b'S0',[-Inf;3.5],[-Inf;18],0,0,0,[-Inf;0.5],0,0,0,0,0,0,0,0,0,0,0,0,(71.5;366],(3.5;25.5],(0.745; Inf],(0.75; Inf],[-Inf;0.005],[-Inf;0.02],(0.005;0.67],(0.035;0.48],[-Inf;0.005],(254; Inf],(1.5;27],(0.005;0.105],(0.045;0.11],[-Inf;0.005],[-Inf;0.005],(0.9; Inf],(0.51; Inf],[-Inf;0.005],[-Inf;0.005],neptune.
(349756;395938],[-Inf;0.5],b'tcp',b'private',b'S0',[-Inf;3.5],[-Inf;18],0,0,0,[-Inf;0.5],0,0,0,0,0,0,0,0,0,0,0,0,(71.5;366],(3.5;25.5],(0.745; Inf],(0.75; Inf],[-Inf;0.005],[-Inf;0.02],(0.005;0.67],(0.035;0.48],[-Inf;0.005],(254; Inf],(1.5;27],(0.005;0.105],(0.045;0.11],[-Inf;0.005],[-Inf;0.005],(0.9; Inf],(0.51; Inf],[-Inf;0.005],[-Inf;0.005],neptune.
(395938;449726.5],[-Inf;0.5],b'icmp',b'ecr_i',b'SF',(500;1040],[-Inf;18],0,0,0,[-Inf;0.5],0,0,0,0,0,0,0,0,0,0,0,0,(366; Inf],(158; Inf],[-Inf;0.005],[-Inf;0.75],[-Inf;0.005],[-Inf;0.02],(0.67; Inf],[-Inf;0.035],[-Inf;0.005],(254; Inf],(254.5; Inf],(0.995; Inf],[-Inf;0.005],(0.995; Inf],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],smurf.
(149662;344291.5],[-Inf;0.5],b'icmp',b'ecr_i',b'SF',(500;1040],[-Inf;18],0,0,0,[-Inf;0.5],0,0,0,0,0,0,0,0,0,0,0,0,(366; Inf],(158; Inf],[-Inf;0.005],[-Inf;0.75],[-Inf;0.005],[-Inf;0.02],(0.67; Inf],[-Inf;0.035],[-Inf;0.005],(254; Inf],(254.5; Inf],(0.995; Inf],[-Inf;0.005],(0.995; Inf],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],[-Inf;0.005],smurf.
