normalizedLosses,make,fuelType,aspiration,numOfDoors,bodyStyle,driveWheels,engineType,numOfCylinders,fuelSystem,engineLocation,wheelBase,length,width,height,curbWeight,engineSize,bore,stroke,compressionRatio,horsepower,peakRpm,cityMpg,highwayMpg,price,XClass
(98; Inf],alfa-romero,gas,std,two,convertible,rwd,dohc,four,mpfi,front,(88.5;92.15],(168.75;169.05],[-Inf;64.3],[-Inf;50.35],(2206.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;28.5],(8497; Inf],3
(98; Inf],alfa-romero,gas,std,two,convertible,rwd,dohc,four,mpfi,front,(88.5;92.15],(168.75;169.05],[-Inf;64.3],[-Inf;50.35],(2206.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;28.5],(8497; Inf],3
(98; Inf],audi,gas,std,four,sedan,fwd,ohc,four,mpfi,front,(95.5;101.8],(169.05;186.65],(65.65;66.45],(51.8;56.15],(2206.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],(28.5; Inf],(8497; Inf],2
(98; Inf],audi,gas,std,four,sedan,4wd,ohc,five,mpfi,front,(95.5;101.8],(169.05;186.65],(65.65;66.45],(51.8;56.15],(2206.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;28.5],(8497; Inf],2
(98; Inf],audi,gas,std,two,sedan,fwd,ohc,five,mpfi,front,(95.5;101.8],(169.05;186.65],(65.65;66.45],(51.8;56.15],(2206.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;28.5],(8497; Inf],2
(98; Inf],audi,gas,std,four,sedan,fwd,ohc,five,mpfi,front,(101.8; Inf],(186.65; Inf],(66.45; Inf],(51.8;56.15],(2206.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;28.5],(8497; Inf],1
(98; Inf],audi,gas,std,four,wagon,fwd,ohc,five,mpfi,front,(101.8; Inf],(186.65; Inf],(66.45; Inf],(51.8;56.15],(2206.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;28.5],(8497; Inf],1
(98; Inf],audi,gas,turbo,four,sedan,fwd,ohc,five,mpfi,front,(101.8; Inf],(186.65; Inf],(66.45; Inf],(51.8;56.15],(2206.5; Inf],(105.5; Inf],(3.02;3.16],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;28.5],(8497; Inf],1
(98; Inf],audi,gas,turbo,two,hatchback,4wd,ohc,five,mpfi,front,(95.5;101.8],(169.05;186.65],(66.45; Inf],(51.8;56.15],(2206.5; Inf],(105.5; Inf],(3.02;3.16],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;28.5],(8497; Inf],0
(98; Inf],bmw,gas,std,two,sedan,rwd,ohc,four,mpfi,front,(95.5;101.8],(169.05;186.65],(64.3;65.45],(51.8;56.15],(2206.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],(28.5; Inf],(8497; Inf],2
(98; Inf],bmw,gas,std,four,sedan,rwd,ohc,four,mpfi,front,(95.5;101.8],(169.05;186.65],(64.3;65.45],(51.8;56.15],(2206.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],(28.5; Inf],(8497; Inf],0
(98; Inf],bmw,gas,std,two,sedan,rwd,ohc,six,mpfi,front,(95.5;101.8],(169.05;186.65],(64.3;65.45],(51.8;56.15],(2206.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;28.5],(8497; Inf],0
(98; Inf],bmw,gas,std,four,sedan,rwd,ohc,six,mpfi,front,(95.5;101.8],(169.05;186.65],(64.3;65.45],(51.8;56.15],(2206.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;28.5],(8497; Inf],0
(98; Inf],bmw,gas,std,four,sedan,rwd,ohc,six,mpfi,front,(101.8; Inf],(186.65; Inf],(66.45; Inf],(51.8;56.15],(2206.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;28.5],(8497; Inf],1
(98; Inf],bmw,gas,std,four,sedan,rwd,ohc,six,mpfi,front,(101.8; Inf],(186.65; Inf],(66.45; Inf],(51.8;56.15],(2206.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;28.5],(8497; Inf],0
(98; Inf],bmw,gas,std,two,sedan,rwd,ohc,six,mpfi,front,(101.8; Inf],(186.65; Inf],(66.45; Inf],(51.8;56.15],(2206.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;28.5],(8497; Inf],0
(98; Inf],bmw,gas,std,four,sedan,rwd,ohc,six,mpfi,front,(101.8; Inf],(186.65; Inf],(66.45; Inf],(56.25; Inf],(2206.5; Inf],(105.5; Inf],(3.16; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;25.5],[-Inf;28.5],(8497; Inf],0
