normalizedLosses,make,fuelType,aspiration,numOfDoors,bodyStyle,driveWheels,engineType,numOfCylinders,fuelSystem,engineLocation,wheelBase,length,width,height,curbWeight,engineSize,bore,stroke,compressionRatio,horsepower,peakRpm,cityMpg,highwayMpg,price,XClass
(111.5; Inf],alfa-romero,gas,std,two,convertible,rwd,dohc,four,mpfi,front,(87.6;92.15],(168.75;171.45],[-Inf;64.3],[-Inf;50.35],(2216.5; Inf],(105.5; Inf],(3.255; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;24.5],[-Inf;29.5],(8883; Inf],3
(111.5; Inf],alfa-romero,gas,std,two,convertible,rwd,dohc,four,mpfi,front,(87.6;92.15],(168.75;171.45],[-Inf;64.3],[-Inf;50.35],(2216.5; Inf],(105.5; Inf],(3.255; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;24.5],[-Inf;29.5],(8883; Inf],3
(111.5; Inf],alfa-romero,gas,std,two,hatchback,rwd,ohcv,six,mpfi,front,(92.15;95.2],(168.75;171.45],(64.3; Inf],(50.35;52.45],(2216.5; Inf],(105.5; Inf],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;24.5],[-Inf;29.5],(8883; Inf],1
(111.5; Inf],audi,gas,std,four,sedan,4wd,ohc,five,mpfi,front,(95.5;102.2],(171.85;187.65],(64.3; Inf],(52.45;55.55],(2216.5; Inf],(105.5; Inf],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;24.5],[-Inf;29.5],(8883; Inf],2
(111.5; Inf],audi,gas,std,two,sedan,fwd,ohc,five,mpfi,front,(95.5;102.2],(171.85;187.65],(64.3; Inf],(52.45;55.55],(2216.5; Inf],(105.5; Inf],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;24.5],[-Inf;29.5],(8883; Inf],2
(111.5; Inf],audi,gas,std,four,sedan,fwd,ohc,five,mpfi,front,(102.2; Inf],(191.3; Inf],(64.3; Inf],(55.55;56.15],(2216.5; Inf],(105.5; Inf],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;24.5],[-Inf;29.5],(8883; Inf],1
(111.5; Inf],audi,gas,std,four,wagon,fwd,ohc,five,mpfi,front,(102.2; Inf],(191.3; Inf],(64.3; Inf],(55.55;56.15],(2216.5; Inf],(105.5; Inf],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;24.5],[-Inf;29.5],(8883; Inf],1
(111.5; Inf],audi,gas,turbo,four,sedan,fwd,ohc,five,mpfi,front,(102.2; Inf],(191.3; Inf],(64.3; Inf],(55.55;56.15],(2216.5; Inf],(105.5; Inf],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;24.5],[-Inf;29.5],(8883; Inf],1
(111.5; Inf],audi,gas,turbo,two,hatchback,4wd,ohc,five,mpfi,front,(95.5;102.2],(171.85;187.65],(64.3; Inf],(50.35;52.45],(2216.5; Inf],(105.5; Inf],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;24.5],[-Inf;29.5],(8883; Inf],0
(111.5; Inf],bmw,gas,std,two,sedan,rwd,ohc,four,mpfi,front,(95.5;102.2],(171.85;187.65],(64.3; Inf],(52.45;55.55],(2216.5; Inf],(105.5; Inf],(3.255; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;24.5],[-Inf;29.5],(8883; Inf],2
(111.5; Inf],bmw,gas,std,four,sedan,rwd,ohc,four,mpfi,front,(95.5;102.2],(171.85;187.65],(64.3; Inf],(52.45;55.55],(2216.5; Inf],(105.5; Inf],(3.255; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;24.5],[-Inf;29.5],(8883; Inf],0
(111.5; Inf],bmw,gas,std,two,sedan,rwd,ohc,six,mpfi,front,(95.5;102.2],(171.85;187.65],(64.3; Inf],(52.45;55.55],(2216.5; Inf],(105.5; Inf],(3.255; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;24.5],[-Inf;29.5],(8883; Inf],0
(111.5; Inf],bmw,gas,std,four,sedan,rwd,ohc,six,mpfi,front,(95.5;102.2],(171.85;187.65],(64.3; Inf],(52.45;55.55],(2216.5; Inf],(105.5; Inf],(3.255; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;24.5],[-Inf;29.5],(8883; Inf],0
(111.5; Inf],bmw,gas,std,four,sedan,rwd,ohc,six,mpfi,front,(102.2; Inf],(187.65;191.3],(64.3; Inf],(55.55;56.15],(2216.5; Inf],(105.5; Inf],(3.255; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;24.5],[-Inf;29.5],(8883; Inf],1
