A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,class
a,[-Inf; Inf],(4.2075; Inf],u,g,q,h,(1.02; Inf],t,t,(2.5; Inf],f,g,[-Inf;105],(492; Inf],+
a,[-Inf; Inf],[-Inf;4.2075],u,g,q,h,(1.02; Inf],t,f,[-Inf;2.5],f,g,(105; Inf],(492; Inf],+
b,[-Inf; Inf],[-Inf;4.2075],u,g,w,v,(1.02; Inf],t,t,(2.5; Inf],t,g,[-Inf;105],[-Inf;492],+
b,[-Inf; Inf],(4.2075; Inf],u,g,w,v,(1.02; Inf],t,f,[-Inf;2.5],f,s,(105; Inf],[-Inf;492],+
b,[-Inf; Inf],[-Inf;4.2075],u,g,m,v,(1.02; Inf],t,f,[-Inf;2.5],t,g,(105; Inf],[-Inf;492],+
b,[-Inf; Inf],[-Inf;4.2075],u,g,r,h,(1.02; Inf],t,f,[-Inf;2.5],t,g,(105; Inf],(492; Inf],+
a,[-Inf; Inf],(4.2075; Inf],u,g,cc,v,[-Inf;1.02],t,f,[-Inf;2.5],f,g,[-Inf;105],(492; Inf],+
b,[-Inf; Inf],[-Inf;4.2075],y,p,k,h,(1.02; Inf],t,f,[-Inf;2.5],f,g,(105; Inf],[-Inf;492],+
b,[-Inf; Inf],(4.2075; Inf],y,p,w,v,(1.02; Inf],t,f,[-Inf;2.5],t,g,[-Inf;105],(492; Inf],+
b,[-Inf; Inf],[-Inf;4.2075],u,g,c,h,(1.02; Inf],f,f,[-Inf;2.5],t,g,(105; Inf],[-Inf;492],+
b,[-Inf; Inf],[-Inf;4.2075],u,g,c,h,(1.02; Inf],t,f,[-Inf;2.5],f,g,(105; Inf],[-Inf;492],+
a,[-Inf; Inf],(4.2075; Inf],u,g,k,v,[-Inf;1.02],t,f,[-Inf;2.5],t,g,[-Inf;105],[-Inf;492],+
b,[-Inf; Inf],(4.2075; Inf],u,g,k,v,[-Inf;1.02],f,f,[-Inf;2.5],f,g,[-Inf;105],(492; Inf],+
a,[-Inf; Inf],(4.2075; Inf],u,g,q,v,(1.02; Inf],t,t,(2.5; Inf],t,g,[-Inf;105],[-Inf;492],+
b,[-Inf; Inf],(4.2075; Inf],y,p,k,v,[-Inf;1.02],t,t,(2.5; Inf],t,g,(105; Inf],[-Inf;492],+
b,[-Inf; Inf],[-Inf;4.2075],u,g,m,v,[-Inf;1.02],t,t,(2.5; Inf],t,g,(105; Inf],[-Inf;492],+
