Speaker.Number,Sex,Feature.0,Feature.1,Feature.2,Feature.3,Feature.4,Feature.5,Feature.6,Feature.7,Feature.8,Feature.9,Class
Andrew,Male,(-3.7685;-3.143],(-0.1235;0.4245],[-Inf;0.4385],(1.4965; Inf],(-0.396;0.4995],(1.451; Inf],(-0.6605;0.4665],(0.0765; Inf],[-Inf;0.2025],[-Inf; Inf],hid
Andrew,Male,(-3.7685;-3.143],(0.4245;0.7165],[-Inf;0.4385],(0.8405;1.4965],(-0.396;0.4995],(1.451; Inf],(-0.6605;0.4665],(0.0765; Inf],[-Inf;0.2025],[-Inf; Inf],hId
Andrew,Male,(-2.1755;-1.4625],(0.7165;1.2205],[-Inf;0.4385],(0.0015;0.8405],(-1.104;-0.396],(1.451; Inf],(-0.6605;0.4665],(0.0765; Inf],[-Inf;0.2025],[-Inf; Inf],hEd
Andrew,Male,(-3.143;-2.1755],(1.2205;2.215],[-Inf;0.4385],(0.8405;1.4965],(-1.104;-0.396],[-Inf;1.451],(-0.6605;0.4665],(0.0765; Inf],[-Inf;0.2025],[-Inf; Inf],hAd
Andrew,Male,(-3.143;-2.1755],(1.2205;2.215],[-Inf;0.4385],(0.8405;1.4965],[-Inf;-1.104],[-Inf;1.451],(-0.6605;0.4665],(-0.69;0.0765],(0.2025; Inf],[-Inf; Inf],hYd
Andrew,Male,(-3.143;-2.1755],(1.2205;2.215],[-Inf;0.4385],(0.0015;0.8405],[-Inf;-1.104],[-Inf;1.451],(-0.6605;0.4665],(-0.69;0.0765],(0.2025; Inf],[-Inf; Inf],had
Andrew,Male,(-3.7685;-3.143],(2.215;3.0665],[-Inf;0.4385],(0.8405;1.4965],[-Inf;-1.104],[-Inf;1.451],(-0.6605;0.4665],(0.0765; Inf],(0.2025; Inf],[-Inf; Inf],hOd
Andrew,Male,(-4.5165;-3.7685],(2.215;3.0665],[-Inf;0.4385],(1.4965; Inf],[-Inf;-1.104],[-Inf;1.451],(-0.6605;0.4665],(0.0765; Inf],(0.2025; Inf],[-Inf; Inf],hod
Andrew,Male,(-4.5165;-3.7685],(1.2205;2.215],[-Inf;0.4385],(0.0015;0.8405],(-1.104;-0.396],(1.451; Inf],(-0.6605;0.4665],(0.0765; Inf],[-Inf;0.2025],[-Inf; Inf],hUd
Andrew,Male,(-3.7685;-3.143],(1.2205;2.215],[-Inf;0.4385],(1.4965; Inf],(-0.396;0.4995],(1.451; Inf],(-0.6605;0.4665],(0.0765; Inf],[-Inf;0.2025],[-Inf; Inf],hud
Andrew,Male,(-3.143;-2.1755],(1.2205;2.215],[-Inf;0.4385],(0.0015;0.8405],(-1.104;-0.396],[-Inf;1.451],(-0.6605;0.4665],(0.0765; Inf],[-Inf;0.2025],[-Inf; Inf],hed
Andrew,Male,(-3.7685;-3.143],(-0.1235;0.4245],[-Inf;0.4385],(1.4965; Inf],(-0.396;0.4995],(1.451; Inf],(-0.6605;0.4665],(0.0765; Inf],[-Inf;0.2025],[-Inf; Inf],hid
Andrew,Male,(-3.7685;-3.143],(0.4245;0.7165],[-Inf;0.4385],(0.8405;1.4965],(-0.396;0.4995],(1.451; Inf],(-0.6605;0.4665],(0.0765; Inf],[-Inf;0.2025],[-Inf; Inf],hId
Andrew,Male,(-2.1755;-1.4625],(0.7165;1.2205],[-Inf;0.4385],(0.0015;0.8405],(-1.104;-0.396],(1.451; Inf],(-0.6605;0.4665],(0.0765; Inf],[-Inf;0.2025],[-Inf; Inf],hEd
Andrew,Male,(-3.143;-2.1755],(1.2205;2.215],[-Inf;0.4385],(0.8405;1.4965],(-1.104;-0.396],[-Inf;1.451],(-0.6605;0.4665],(-0.69;0.0765],[-Inf;0.2025],[-Inf; Inf],hAd
Andrew,Male,(-3.143;-2.1755],(1.2205;2.215],[-Inf;0.4385],(0.8405;1.4965],[-Inf;-1.104],[-Inf;1.451],(-0.6605;0.4665],(-0.69;0.0765],(0.2025; Inf],[-Inf; Inf],hYd
Andrew,Male,(-3.143;-2.1755],(1.2205;2.215],[-Inf;0.4385],(0.0015;0.8405],[-Inf;-1.104],[-Inf;1.451],(-0.6605;0.4665],(-0.69;0.0765],(0.2025; Inf],[-Inf; Inf],had
Andrew,Male,(-3.7685;-3.143],(2.215;3.0665],[-Inf;0.4385],(0.8405;1.4965],[-Inf;-1.104],[-Inf;1.451],(-0.6605;0.4665],(0.0765; Inf],(0.2025; Inf],[-Inf; Inf],hOd
Andrew,Male,(-4.5165;-3.7685],(2.215;3.0665],[-Inf;0.4385],(1.4965; Inf],[-Inf;-1.104],[-Inf;1.451],(-0.6605;0.4665],(0.0765; Inf],(0.2025; Inf],[-Inf; Inf],hod
Andrew,Male,(-4.5165;-3.7685],(1.2205;2.215],[-Inf;0.4385],(0.0015;0.8405],(-1.104;-0.396],(1.451; Inf],(-0.6605;0.4665],(0.0765; Inf],(0.2025; Inf],[-Inf; Inf],hUd
Andrew,Male,(-3.7685;-3.143],(1.2205;2.215],[-Inf;0.4385],(1.4965; Inf],(-0.396;0.4995],(1.451; Inf],(-0.6605;0.4665],(0.0765; Inf],[-Inf;0.2025],[-Inf; Inf],hud
Andrew,Male,(-3.143;-2.1755],(1.2205;2.215],[-Inf;0.4385],(0.0015;0.8405],(-1.104;-0.396],[-Inf;1.451],(-0.6605;0.4665],(0.0765; Inf],[-Inf;0.2025],[-Inf; Inf],hed
Andrew,Male,(-3.7685;-3.143],(-0.1235;0.4245],[-Inf;0.4385],(1.4965; Inf],(-0.396;0.4995],(1.451; Inf],(-0.6605;0.4665],(0.0765; Inf],[-Inf;0.2025],[-Inf; Inf],hid
Andrew,Male,(-3.7685;-3.143],(-0.1235;0.4245],[-Inf;0.4385],(0.8405;1.4965],(-0.396;0.4995],(1.451; Inf],(-0.6605;0.4665],(0.0765; Inf],[-Inf;0.2025],[-Inf; Inf],hId
Andrew,Male,(-2.1755;-1.4625],(0.7165;1.2205],[-Inf;0.4385],(0.0015;0.8405],(-1.104;-0.396],(1.451; Inf],(-0.6605;0.4665],(0.0765; Inf],[-Inf;0.2025],[-Inf; Inf],hEd
Andrew,Male,(-3.143;-2.1755],(1.2205;2.215],[-Inf;0.4385],(0.8405;1.4965],(-1.104;-0.396],[-Inf;1.451],(-0.6605;0.4665],(0.0765; Inf],[-Inf;0.2025],[-Inf; Inf],hAd
Andrew,Male,(-3.143;-2.1755],(1.2205;2.215],[-Inf;0.4385],(0.8405;1.4965],[-Inf;-1.104],[-Inf;1.451],(-0.6605;0.4665],(0.0765; Inf],[-Inf;0.2025],[-Inf; Inf],hYd
Andrew,Male,(-3.143;-2.1755],(1.2205;2.215],[-Inf;0.4385],(0.0015;0.8405],[-Inf;-1.104],[-Inf;1.451],(-0.6605;0.4665],(-0.69;0.0765],(0.2025; Inf],[-Inf; Inf],had
Andrew,Male,(-3.7685;-3.143],(2.215;3.0665],[-Inf;0.4385],(0.8405;1.4965],[-Inf;-1.104],[-Inf;1.451],(0.4665; Inf],(0.0765; Inf],(0.2025; Inf],[-Inf; Inf],hOd
Andrew,Male,(-4.5165;-3.7685],(2.215;3.0665],[-Inf;0.4385],(1.4965; Inf],[-Inf;-1.104],[-Inf;1.451],(-0.6605;0.4665],(0.0765; Inf],(0.2025; Inf],[-Inf; Inf],hod
Andrew,Male,(-3.7685;-3.143],(1.2205;2.215],[-Inf;0.4385],(0.0015;0.8405],(-1.104;-0.396],(1.451; Inf],(-0.6605;0.4665],(0.0765; Inf],[-Inf;0.2025],[-Inf; Inf],hUd
Andrew,Male,(-3.7685;-3.143],(1.2205;2.215],[-Inf;0.4385],(1.4965; Inf],(-0.396;0.4995],(1.451; Inf],(-0.6605;0.4665],(0.0765; Inf],[-Inf;0.2025],[-Inf; Inf],hud
Andrew,Male,(-3.143;-2.1755],(1.2205;2.215],[-Inf;0.4385],(0.0015;0.8405],(-1.104;-0.396],[-Inf;1.451],(-0.6605;0.4665],(0.0765; Inf],[-Inf;0.2025],[-Inf; Inf],hed
Andrew,Male,(-3.7685;-3.143],(-0.1235;0.4245],[-Inf;0.4385],(1.4965; Inf],(-0.396;0.4995],(1.451; Inf],(-0.6605;0.4665],(0.0765; Inf],[-Inf;0.2025],[-Inf; Inf],hid
Andrew,Male,(-3.143;-2.1755],(-0.1235;0.4245],[-Inf;0.4385],(0.8405;1.4965],(-0.396;0.4995],(1.451; Inf],(-0.6605;0.4665],(0.0765; Inf],[-Inf;0.2025],[-Inf; Inf],hId
Andrew,Male,(-2.1755;-1.4625],(0.7165;1.2205],[-Inf;0.4385],(0.0015;0.8405],(-1.104;-0.396],(1.451; Inf],(-0.6605;0.4665],(0.0765; Inf],[-Inf;0.2025],[-Inf; Inf],hEd
Andrew,Male,(-3.143;-2.1755],(1.2205;2.215],[-Inf;0.4385],(0.8405;1.4965],(-1.104;-0.396],[-Inf;1.451],(-0.6605;0.4665],(0.0765; Inf],[-Inf;0.2025],[-Inf; Inf],hAd
Andrew,Male,(-3.143;-2.1755],(1.2205;2.215],[-Inf;0.4385],(0.8405;1.4965],[-Inf;-1.104],[-Inf;1.451],(-0.6605;0.4665],(0.0765; Inf],[-Inf;0.2025],[-Inf; Inf],hYd
Andrew,Male,(-3.143;-2.1755],(2.215;3.0665],[-Inf;0.4385],(0.0015;0.8405],[-Inf;-1.104],[-Inf;1.451],(0.4665; Inf],(-0.69;0.0765],[-Inf;0.2025],[-Inf; Inf],had
Andrew,Male,(-3.7685;-3.143],(1.2205;2.215],[-Inf;0.4385],(0.8405;1.4965],[-Inf;-1.104],[-Inf;1.451],(0.4665; Inf],(0.0765; Inf],(0.2025; Inf],[-Inf; Inf],hOd
