a01,a02,a03,a04,a05,a06,a07,a08,a09,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a32,a33,a34,class
1,0,(0.998505; Inf],(-0.609635;-0.00017],(0.418075;0.995175],(-0.79531;-0.217515],[-Inf;0.029375],(-0.983575;-0.000375],(0.995785; Inf],(-0.57299;0.591395],(0.24815;0.9991],[-Inf;-0.58803],(0.24757;0.998725],[-Inf;-0.549035],(-0.98825;-0.0283],[-Inf;-0.90517],[-Inf; Inf],(-0.805795;0.99361],(0.24405;0.84314],[-Inf;-0.912755],(-0.957365;-1.5e-05],(-0.96798;0.923655],(-0.96809;-0.000155],(-0.97086;0.944345],(-0.87839;-0.00017],(-0.98148;0.80245],[-Inf;0.52812],(-0.9258;0.86022],(-0.91183;-9e-05],(-0.91428;0.930305],[-Inf;0.104915],(-0.080505;-6e-05],(-0.959515;-4e-05],(-0.974115;-3e-05],b
1,0,(0.998505; Inf],(-0.609635;-0.00017],(0.995175; Inf],(0.82509; Inf],(0.029375;0.999995],[-Inf;-0.983575],(-0.036395;0.05561],(-0.57299;0.591395],(-0.01058;0.00676],(-0.00027;0.001845],(-0.076515;0.24757],(-0.549035;0.652535],[-Inf;-0.98825],(-0.90517;0.96841],[-Inf; Inf],(-0.805795;0.99361],[-Inf;-0.968205],(-0.912755;0.975495],(-0.957365;-1.5e-05],(0.923655; Inf],(-0.000155;0.00247],(-0.97086;0.944345],(0.999495; Inf],(0.80245; Inf],[-Inf;0.52812],(0.86022; Inf],(0.997; Inf],(-0.91428;0.930305],(0.104915;0.99556],(0.90311; Inf],(-0.959515;-4e-05],(0.95098; Inf],b
1,0,(0.998505; Inf],(-0.609635;-0.00017],(0.418075;0.995175],(0.00101;0.82509],(0.029375;0.999995],(-0.983575;-0.000375],(0.05561;0.840605],(-0.57299;0.591395],(0.24815;0.9991],(-0.58803;-0.00027],(0.24757;0.998725],(-0.549035;0.652535],(0.239955;0.99914],(-0.90517;0.96841],[-Inf; Inf],(-0.805795;0.99361],(0.24405;0.84314],(-0.912755;0.975495],(-1.5e-05;0.07206],(-0.96798;0.923655],(0.00247;0.18657],(-0.97086;0.944345],(0.00403;0.212905],(-0.98148;0.80245],[-Inf;0.52812],(-0.9258;0.86022],(-9e-05;0.038395],(-0.91428;0.930305],[-Inf;0.104915],(-0.969765;-0.080505],(-0.959515;-4e-05],(-0.974115;-3e-05],g
1,0,[-Inf;0.19028],(-0.609635;-0.00017],[-Inf;0.04144],(-0.217515;-0.000715],[-Inf;0.029375],(-0.983575;-0.000375],(0.05561;0.840605],(-0.57299;0.591395],(0.00676;0.24815],(-0.58803;-0.00027],(-0.076515;0.24757],(-0.549035;0.652535],(-0.98825;-0.0283],(-0.90517;0.96841],[-Inf; Inf],(-0.805795;0.99361],(-0.14599;0.24405],(-0.912755;0.975495],(-1.5e-05;0.07206],(-0.96798;0.923655],(0.00247;0.18657],(-0.97086;0.944345],(0.00403;0.212905],(-0.98148;0.80245],[-Inf;0.52812],(-0.9258;0.86022],(-0.91183;-9e-05],(-0.91428;0.930305],[-Inf;0.104915],(-6e-05;0.00177],(-0.959515;-4e-05],(0.0054;0.95098],b
1,0,(0.73947;0.998505],(-0.609635;-0.00017],(0.418075;0.995175],(-0.217515;-0.000715],(0.029375;0.999995],(-0.983575;-0.000375],(0.840605;0.995785],(-0.57299;0.591395],(0.24815;0.9991],(-0.58803;-0.00027],(0.24757;0.998725],(-0.549035;0.652535],(0.239955;0.99914],(-0.90517;0.96841],[-Inf; Inf],(-0.805795;0.99361],(0.24405;0.84314],(-0.912755;0.975495],(0.07206;0.99888],(-0.96798;0.923655],(0.18657;0.98379],(-0.97086;0.944345],(0.212905;0.999495],(-0.98148;0.80245],[-Inf;0.52812],(-0.9258;0.86022],(0.038395;0.997],(-0.91428;0.930305],[-Inf;0.104915],(-0.969765;-0.080505],(-0.959515;-4e-05],(-0.974115;-3e-05],g
0,0,[-Inf;0.19028],(-0.00017;0.007075],[-Inf;0.04144],(-0.000715;0.00101],(0.999995; Inf],[-Inf;-0.983575],(-0.036395;0.05561],(-0.57299;0.591395],[-Inf;-0.91576],[-Inf;-0.58803],(-0.076515;0.24757],(-0.549035;0.652535],(-0.0283;0.239955],(-0.90517;0.96841],[-Inf; Inf],(0.99361; Inf],[-Inf;-0.968205],[-Inf;-0.912755],(-1.5e-05;0.07206],(-0.96798;0.923655],(-0.000155;0.00247],(-0.97086;0.944345],(0.999495; Inf],(0.80245; Inf],(0.999945; Inf],(0.86022; Inf],(-9e-05;0.038395],(-0.91428;0.930305],(0.99556; Inf],(0.90311; Inf],(-4e-05;0.0002],(-3e-05;0.0054],b
1,0,(0.73947;0.998505],(-0.609635;-0.00017],(0.995175; Inf],(-0.217515;-0.000715],(0.999995; Inf],(-0.983575;-0.000375],(0.995785; Inf],(-0.57299;0.591395],(0.24815;0.9991],(-0.58803;-0.00027],(0.24757;0.998725],(-0.549035;0.652535],(0.239955;0.99914],(-0.90517;0.96841],[-Inf; Inf],(-0.805795;0.99361],(0.84314;0.998845],(-0.912755;0.975495],(0.07206;0.99888],(-0.96798;0.923655],(0.18657;0.98379],(-0.97086;0.944345],(0.212905;0.999495],(-0.98148;0.80245],(0.52812;0.999945],(-0.9258;0.86022],(0.038395;0.997],(-0.91428;0.930305],(0.104915;0.99556],(-0.969765;-0.080505],(0.0002;0.994855],(-0.974115;-3e-05],g
1,0,[-Inf;0.19028],(-0.609635;-0.00017],[-Inf;0.04144],(-0.000715;0.00101],[-Inf;0.029375],(-0.000375;0.000985],(0.05561;0.840605],(-0.57299;0.591395],(-0.91576;-0.01058],(-0.58803;-0.00027],(-0.076515;0.24757],(-0.549035;0.652535],(-0.98825;-0.0283],(-0.90517;0.96841],[-Inf; Inf],(-0.805795;0.99361],(0.24405;0.84314],(-0.912755;0.975495],(-1.5e-05;0.07206],(-0.96798;0.923655],(-0.000155;0.00247],(-0.97086;0.944345],(-0.87839;-0.00017],(-0.98148;0.80245],[-Inf;0.52812],(-0.9258;0.86022],(-9e-05;0.038395],(-0.91428;0.930305],(0.104915;0.99556],(0.00177;0.90311],(-0.959515;-4e-05],(0.0054;0.95098],b
1,0,(0.998505; Inf],(-0.609635;-0.00017],(0.995175; Inf],[-Inf;-0.79531],(0.999995; Inf],[-Inf;-0.983575],(0.995785; Inf],(-0.57299;0.591395],(0.9991; Inf],(-0.58803;-0.00027],(0.998725; Inf],(0.97565; Inf],(0.99914; Inf],[-Inf;-0.90517],[-Inf; Inf],(-0.805795;0.99361],(0.998845; Inf],[-Inf;-0.912755],(0.99888; Inf],(0.923655; Inf],(0.98379; Inf],(0.944345; Inf],(0.999495; Inf],(-0.98148;0.80245],(0.999945; Inf],(-0.9258;0.86022],(0.997; Inf],[-Inf;-0.91428],(0.99556; Inf],[-Inf;-0.969765],(0.994855; Inf],[-Inf;-0.974115],b
1,0,(0.998505; Inf],(-0.609635;-0.00017],(0.995175; Inf],(-0.217515;-0.000715],(0.029375;0.999995],(-0.983575;-0.000375],(0.995785; Inf],(-0.57299;0.591395],(0.24815;0.9991],(-0.58803;-0.00027],(0.24757;0.998725],(-0.549035;0.652535],(0.239955;0.99914],(-0.90517;0.96841],[-Inf; Inf],(-0.805795;0.99361],(0.84314;0.998845],(-0.912755;0.975495],(0.07206;0.99888],(-0.96798;0.923655],(0.18657;0.98379],(-0.97086;0.944345],(0.212905;0.999495],(-0.98148;0.80245],(0.52812;0.999945],(-0.9258;0.86022],(0.038395;0.997],(-0.91428;0.930305],(0.104915;0.99556],(-0.969765;-0.080505],(0.0002;0.994855],(-0.974115;-3e-05],g
1,0,(0.998505; Inf],[-Inf;-0.609635],(0.995175; Inf],(0.00101;0.82509],(0.029375;0.999995],(-0.983575;-0.000375],(0.995785; Inf],(-0.57299;0.591395],(0.9991; Inf],(0.001845;0.981525],(0.998725; Inf],(-0.549035;0.652535],(0.99914; Inf],(-0.90517;0.96841],[-Inf; Inf],[-Inf;-0.805795],(0.998845; Inf],[-Inf;-0.912755],(0.07206;0.99888],(-0.96798;0.923655],(0.98379; Inf],(-0.97086;0.944345],(0.999495; Inf],(-0.98148;0.80245],(0.999945; Inf],(-0.9258;0.86022],(0.997; Inf],(-0.91428;0.930305],(0.99556; Inf],(0.00177;0.90311],(0.994855; Inf],(-0.974115;-3e-05],b
1,0,(0.998505; Inf],(0.007075;0.72567],(0.995175; Inf],(0.00101;0.82509],(0.999995; Inf],(-0.983575;-0.000375],(0.995785; Inf],(-0.57299;0.591395],(0.9991; Inf],(0.001845;0.981525],(0.998725; Inf],(-0.549035;0.652535],(0.99914; Inf],(-0.90517;0.96841],[-Inf; Inf],(-0.805795;0.99361],(0.998845; Inf],(-0.912755;0.975495],(0.99888; Inf],(-0.96798;0.923655],(0.98379; Inf],(-0.97086;0.944345],(0.999495; Inf],(-0.98148;0.80245],(0.999945; Inf],(-0.9258;0.86022],(0.038395;0.997],(-0.91428;0.930305],(0.99556; Inf],(0.00177;0.90311],(0.994855; Inf],(0.0054;0.95098],g
1,0,(0.19028;0.73947],[-Inf;-0.609635],(0.995175; Inf],(0.00101;0.82509],[-Inf;0.029375],[-Inf;-0.983575],(0.995785; Inf],[-Inf;-0.57299],(0.24815;0.9991],[-Inf;-0.58803],(-0.076515;0.24757],(-0.549035;0.652535],[-Inf;-0.98825],(-0.90517;0.96841],[-Inf; Inf],(-0.805795;0.99361],(0.998845; Inf],[-Inf;-0.912755],(-1.5e-05;0.07206],(-0.96798;0.923655],(-0.000155;0.00247],(-0.97086;0.944345],(-0.87839;-0.00017],(0.80245; Inf],[-Inf;0.52812],(-0.9258;0.86022],(-9e-05;0.038395],(-0.91428;0.930305],(0.99556; Inf],(0.00177;0.90311],(-4e-05;0.0002],(-3e-05;0.0054],b
0,0,[-Inf;0.19028],(-0.00017;0.007075],[-Inf;0.04144],[-Inf;-0.79531],(0.999995; Inf],(0.994515; Inf],[-Inf;-0.704705],(0.9891; Inf],[-Inf;-0.91576],(0.981525; Inf],(0.998725; Inf],[-Inf;-0.549035],(0.99914; Inf],(0.96841; Inf],[-Inf; Inf],[-Inf;-0.805795],[-Inf;-0.968205],(0.975495; Inf],(0.99888; Inf],[-Inf;-0.96798],[-Inf;-0.96809],(0.944345; Inf],[-Inf;-0.87839],(0.80245; Inf],(0.999945; Inf],[-Inf;-0.9258],[-Inf;-0.91183],(0.930305; Inf],[-Inf;0.104915],[-Inf;-0.969765],(0.994855; Inf],[-Inf;-0.974115],b
