normalizedLosses,make,fuelType,aspiration,numOfDoors,bodyStyle,driveWheels,engineType,numOfCylinders,fuelSystem,engineLocation,wheelBase,length,width,height,curbWeight,engineSize,bore,stroke,compressionRatio,horsepower,peakRpm,cityMpg,highwayMpg,price,XClass
(96.5; Inf],alfa-romero,gas,std,two,convertible,rwd,dohc,four,mpfi,front,(88.5;92.15],(165.65;173.3],[-Inf;64.3],[-Inf;50.35],(2216.5; Inf],(105.5; Inf],(3.255; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;30.5],[-Inf;29.5],(8497; Inf],3
(96.5; Inf],alfa-romero,gas,std,two,convertible,rwd,dohc,four,mpfi,front,(88.5;92.15],(165.65;173.3],[-Inf;64.3],[-Inf;50.35],(2216.5; Inf],(105.5; Inf],(3.255; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;30.5],[-Inf;29.5],(8497; Inf],3
(96.5; Inf],alfa-romero,gas,std,two,hatchback,rwd,ohcv,six,mpfi,front,(92.15;95.5],(165.65;173.3],(64.3; Inf],(50.35;52.45],(2216.5; Inf],(105.5; Inf],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;30.5],[-Inf;29.5],(8497; Inf],1
(96.5; Inf],audi,gas,std,four,sedan,fwd,ohc,four,mpfi,front,(98.6;101.6],(175.65;187.25],(64.3; Inf],(52.45;54.85],(2216.5; Inf],(105.5; Inf],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;30.5],(29.5; Inf],(8497; Inf],2
(96.5; Inf],audi,gas,std,two,sedan,fwd,ohc,five,mpfi,front,(98.6;101.6],(175.65;187.25],(64.3; Inf],(52.45;54.85],(2216.5; Inf],(105.5; Inf],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;30.5],[-Inf;29.5],(8497; Inf],2
(96.5; Inf],audi,gas,std,four,sedan,fwd,ohc,five,mpfi,front,(101.6; Inf],(188.9; Inf],(64.3; Inf],(55.55;56.15],(2216.5; Inf],(105.5; Inf],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;30.5],[-Inf;29.5],(8497; Inf],1
(96.5; Inf],audi,gas,std,four,wagon,fwd,ohc,five,mpfi,front,(101.6; Inf],(188.9; Inf],(64.3; Inf],(55.55;56.15],(2216.5; Inf],(105.5; Inf],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;30.5],[-Inf;29.5],(8497; Inf],1
(96.5; Inf],audi,gas,turbo,four,sedan,fwd,ohc,five,mpfi,front,(101.6; Inf],(188.9; Inf],(64.3; Inf],(55.55;56.15],(2216.5; Inf],(105.5; Inf],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;30.5],[-Inf;29.5],(8497; Inf],1
(96.5; Inf],audi,gas,turbo,two,hatchback,4wd,ohc,five,mpfi,front,(98.6;101.6],(175.65;187.25],(64.3; Inf],(50.35;52.45],(2216.5; Inf],(105.5; Inf],[-Inf;3.255],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;30.5],[-Inf;29.5],(8497; Inf],0
(96.5; Inf],bmw,gas,std,two,sedan,rwd,ohc,four,mpfi,front,(98.6;101.6],(175.65;187.25],(64.3; Inf],(52.45;54.85],(2216.5; Inf],(105.5; Inf],(3.255; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;30.5],[-Inf;29.5],(8497; Inf],2
(96.5; Inf],bmw,gas,std,four,sedan,rwd,ohc,four,mpfi,front,(98.6;101.6],(175.65;187.25],(64.3; Inf],(52.45;54.85],(2216.5; Inf],(105.5; Inf],(3.255; Inf],[-Inf; Inf],[-Inf; Inf],(87; Inf],[-Inf; Inf],[-Inf;30.5],[-Inf;29.5],(8497; Inf],0
