duration,wage.increase.first.year,wage.increase.second.year,wage.increase.third.year,cost.of.living.adjustment,working.hours,pension,standby.pay,shift.differential,education.allowance,statutory.holidays,vacation,longterm.disability.assistance,contribution.to.dental.plan,bereavement.assistance,contribution.to.health.plan,class
[-Inf; Inf],(2.65; Inf],(2.75; Inf],[-Inf; Inf],,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],,(10.5; Inf],average,,,yes,,good
[-Inf; Inf],(2.65; Inf],(2.75; Inf],[-Inf; Inf],,[-Inf; Inf],ret_allw,[-Inf; Inf],[-Inf; Inf],yes,(10.5; Inf],below_average,,full,,full,good
[-Inf; Inf],(2.65; Inf],(2.75; Inf],[-Inf; Inf],,[-Inf; Inf],empl_contr,[-Inf; Inf],[-Inf; Inf],,(10.5; Inf],generous,yes,half,yes,half,good
[-Inf; Inf],(2.65; Inf],(2.75; Inf],[-Inf; Inf],tc,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],yes,(10.5; Inf],,,,yes,,good
[-Inf; Inf],(2.65; Inf],(2.75; Inf],[-Inf; Inf],,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],,(10.5; Inf],average,,half,yes,half,good
[-Inf; Inf],[-Inf;2.65],[-Inf;2.75],[-Inf; Inf],,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],yes,(10.5; Inf],average,,,,,good
[-Inf; Inf],(2.65; Inf],(2.75; Inf],[-Inf; Inf],tc,[-Inf; Inf],empl_contr,[-Inf; Inf],[-Inf; Inf],,(10.5; Inf],generous,yes,none,yes,half,good
[-Inf; Inf],(2.65; Inf],(2.75; Inf],[-Inf; Inf],,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],,(10.5; Inf],below_average,,,,,good
[-Inf; Inf],(2.65; Inf],(2.75; Inf],[-Inf; Inf],,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],yes,(10.5; Inf],below_average,yes,half,yes,,good
[-Inf; Inf],(2.65; Inf],(2.75; Inf],[-Inf; Inf],none,[-Inf; Inf],empl_contr,[-Inf; Inf],[-Inf; Inf],,(10.5; Inf],generous,yes,full,,,good
[-Inf; Inf],(2.65; Inf],(2.75; Inf],[-Inf; Inf],none,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],,(10.5; Inf],generous,,,yes,full,good
[-Inf; Inf],(2.65; Inf],(2.75; Inf],[-Inf; Inf],,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],,(10.5; Inf],,,full,,,good
[-Inf; Inf],(2.65; Inf],(2.75; Inf],[-Inf; Inf],none,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],no,[-Inf;10.5],below_average,no,half,,half,bad
[-Inf; Inf],(2.65; Inf],(2.75; Inf],[-Inf; Inf],tcf,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],,(10.5; Inf],generous,,full,yes,full,good
[-Inf; Inf],(2.65; Inf],(2.75; Inf],[-Inf; Inf],none,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],no,(10.5; Inf],generous,,,,,good
[-Inf; Inf],(2.65; Inf],(2.75; Inf],[-Inf; Inf],none,[-Inf; Inf],empl_contr,[-Inf; Inf],[-Inf; Inf],,(10.5; Inf],average,,full,yes,,good
[-Inf; Inf],(2.65; Inf],(2.75; Inf],[-Inf; Inf],,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],,(10.5; Inf],below_average,,,,,good
[-Inf; Inf],[-Inf;2.65],(2.75; Inf],[-Inf; Inf],tc,[-Inf; Inf],ret_allw,[-Inf; Inf],[-Inf; Inf],no,[-Inf;10.5],below_average,yes,half,,none,bad
[-Inf; Inf],[-Inf;2.65],(2.75; Inf],[-Inf; Inf],none,[-Inf; Inf],none,[-Inf; Inf],[-Inf; Inf],yes,(10.5; Inf],average,no,none,no,none,bad
[-Inf; Inf],(2.65; Inf],(2.75; Inf],[-Inf; Inf],tcf,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],,(10.5; Inf],generous,,,,,good
[-Inf; Inf],[-Inf;2.65],(2.75; Inf],[-Inf; Inf],,[-Inf; Inf],none,[-Inf; Inf],[-Inf; Inf],,(10.5; Inf],below_average,,,,,bad
[-Inf; Inf],(2.65; Inf],(2.75; Inf],[-Inf; Inf],tcf,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],,(10.5; Inf],,,,,,good
[-Inf; Inf],(2.65; Inf],(2.75; Inf],[-Inf; Inf],,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],,[-Inf;10.5],generous,,half,,full,good
[-Inf; Inf],(2.65; Inf],(2.75; Inf],[-Inf; Inf],,[-Inf; Inf],,[-Inf; Inf],[-Inf; Inf],,[-Inf;10.5],generous,,,,,good
[-Inf; Inf],[-Inf;2.65],[-Inf;2.75],[-Inf; Inf],none,[-Inf; Inf],none,[-Inf; Inf],[-Inf; Inf],,[-Inf;10.5],below_average,,half,yes,full,bad
