duration,wage-increase-first-year,wage-increase-second-year,wage-increase-third-year,cost-of-living-adjustment,working-hours,pension,standby-pay,shift-differential,education-allowance,statutory-holidays,vacation,longterm-disability-assistance,contribution-to-dental-plan,bereavement-assistance,contribution-to-health-plan,class
1.0,5.0,3.92142857143,3.91333333333,,40.0,,6.875,2.0,,11.0,average,,,yes,,good
2.0,4.5,5.8,3.91333333333,,35.0,ret_allw,6.875,4.07407407407,yes,11.0,below_average,,full,,full,good
2.19607843137,3.85294117647,3.92142857143,3.91333333333,,38.0,empl_contr,6.875,5.0,,11.0,generous,yes,half,yes,half,good
3.0,3.7,4.0,5.0,tc,37.9565217391,,6.875,4.07407407407,yes,11.1041666667,,,,yes,,good
3.0,4.5,4.5,5.0,,40.0,,6.875,4.07407407407,,12.0,average,,half,yes,half,good
2.0,2.0,2.5,3.91333333333,,35.0,,6.875,6.0,yes,12.0,average,,,,,good
3.0,4.0,5.0,5.0,tc,37.9565217391,empl_contr,6.875,4.07407407407,,12.0,generous,yes,none,yes,half,good
3.0,6.9,4.8,2.3,,40.0,,6.875,3.0,,12.0,below_average,,,,,good
1.0,5.7,3.92142857143,3.91333333333,none,40.0,empl_contr,6.875,4.0,,11.0,generous,yes,full,,,good
3.0,3.5,4.0,4.6,none,36.0,,6.875,3.0,,13.0,generous,,,yes,full,good
2.0,6.4,6.4,3.91333333333,,38.0,,6.875,4.0,,15.0,,,full,,,good
3.0,3.5,4.0,5.1,tcf,37.0,,6.875,4.0,,13.0,generous,,full,yes,full,good
2.0,4.5,4.0,3.91333333333,none,37.0,empl_contr,6.875,4.07407407407,,11.0,average,,full,yes,,good
1.0,2.8,3.92142857143,3.91333333333,,35.0,,6.875,2.0,,12.0,below_average,,,,,good
1.0,2.1,3.92142857143,3.91333333333,tc,40.0,ret_allw,2.0,3.0,no,9.0,below_average,yes,half,,none,bad
1.0,2.0,3.92142857143,3.91333333333,none,38.0,none,6.875,4.07407407407,yes,11.0,average,no,none,no,none,bad
2.0,4.0,5.0,3.91333333333,tcf,35.0,,13.0,5.0,,15.0,generous,,,,,good
2.0,4.3,4.4,3.91333333333,,38.0,,6.875,4.0,,12.0,generous,,full,,full,good
3.0,3.5,4.0,4.6,tcf,27.0,,6.875,4.07407407407,,11.1041666667,,,,,,good
2.0,4.5,4.0,3.91333333333,,40.0,,6.875,4.0,,10.0,generous,,half,,full,good
1.0,6.0,3.92142857143,3.91333333333,,38.0,,8.0,3.0,,9.0,generous,,,,,good
3.0,2.0,2.0,2.0,none,40.0,none,6.875,4.07407407407,,10.0,below_average,,half,yes,full,bad
2.0,4.5,4.5,3.91333333333,tcf,37.9565217391,,6.875,4.07407407407,yes,10.0,below_average,yes,none,,half,good
2.0,3.0,3.0,3.91333333333,none,33.0,,6.875,4.07407407407,yes,12.0,generous,,,yes,full,good
2.0,5.0,4.0,3.91333333333,none,37.0,,6.875,5.0,no,11.0,below_average,yes,full,yes,full,good
3.0,2.0,2.5,3.91333333333,,35.0,none,6.875,4.07407407407,,10.0,average,,,yes,full,bad
3.0,4.5,4.5,5.0,none,40.0,,6.875,4.07407407407,no,11.0,average,,half,,,good
3.0,3.0,2.0,2.5,tc,40.0,none,6.875,5.0,no,10.0,below_average,yes,half,yes,full,bad
2.0,2.5,2.5,3.91333333333,,38.0,empl_contr,6.875,4.07407407407,,10.0,average,,,,,bad
2.0,4.0,5.0,3.91333333333,none,40.0,none,6.875,3.0,no,10.0,below_average,no,none,,none,bad
3.0,2.0,2.5,2.1,tc,40.0,none,2.0,1.0,no,10.0,below_average,no,half,yes,full,bad
2.0,2.0,2.0,3.91333333333,none,40.0,none,6.875,4.07407407407,no,11.0,average,yes,none,yes,full,bad
