normalizedLosses,make,fuelType,aspiration,numOfDoors,bodyStyle,driveWheels,engineType,numOfCylinders,fuelSystem,engineLocation,wheelBase,length,width,height,curbWeight,engineSize,bore,stroke,compressionRatio,horsepower,peakRpm,cityMpg,highwayMpg,price,XClass
120.366666667,alfa-romero,gas,std,two,convertible,rwd,dohc,four,mpfi,front,88.6,168.8,64.1,48.8,2548,130,3.47,2.68,9.0,111.0,5000.0,21,27,13495.0,3
120.366666667,alfa-romero,gas,std,two,convertible,rwd,dohc,four,mpfi,front,88.6,168.8,64.1,48.8,2548,130,3.47,2.68,9.0,111.0,5000.0,21,27,16500.0,3
120.366666667,alfa-romero,gas,std,two,hatchback,rwd,ohcv,six,mpfi,front,94.5,171.2,65.5,52.4,2823,152,2.68,3.47,9.0,154.0,5000.0,19,26,16500.0,1
164.0,audi,gas,std,four,sedan,fwd,ohc,four,mpfi,front,99.8,176.6,66.2,54.3,2337,109,3.19,3.4,10.0,102.0,5500.0,24,30,13950.0,2
164.0,audi,gas,std,four,sedan,4wd,ohc,five,mpfi,front,99.4,176.6,66.4,54.3,2824,136,3.19,3.4,8.0,115.0,5500.0,18,22,17450.0,2
120.366666667,audi,gas,std,two,sedan,fwd,ohc,five,mpfi,front,99.8,177.3,66.3,53.1,2507,136,3.19,3.4,8.5,110.0,5500.0,19,25,15250.0,2
158.0,audi,gas,std,four,sedan,fwd,ohc,five,mpfi,front,105.8,192.7,71.4,55.7,2844,136,3.19,3.4,8.5,110.0,5500.0,19,25,17710.0,1
158.0,audi,gas,turbo,four,sedan,fwd,ohc,five,mpfi,front,105.8,192.7,71.4,55.9,3086,131,3.13,3.4,8.3,140.0,5500.0,17,20,23875.0,1
192.0,bmw,gas,std,four,sedan,rwd,ohc,four,mpfi,front,101.2,176.8,64.8,54.3,2395,108,3.5,2.8,8.8,101.0,5800.0,23,29,16925.0,0
188.0,bmw,gas,std,two,sedan,rwd,ohc,six,mpfi,front,101.2,176.8,64.8,54.3,2710,164,3.31,3.19,9.0,121.0,4250.0,21,28,20970.0,0
188.0,bmw,gas,std,four,sedan,rwd,ohc,six,mpfi,front,101.2,176.8,64.8,54.3,2765,164,3.31,3.19,9.0,121.0,4250.0,21,28,21105.0,0
120.366666667,bmw,gas,std,four,sedan,rwd,ohc,six,mpfi,front,103.5,189.0,66.9,55.7,3055,164,3.31,3.19,9.0,121.0,4250.0,20,25,24565.0,1
120.366666667,bmw,gas,std,four,sedan,rwd,ohc,six,mpfi,front,103.5,189.0,66.9,55.7,3230,209,3.62,3.39,8.0,182.0,5400.0,16,22,30760.0,0
120.366666667,bmw,gas,std,four,sedan,rwd,ohc,six,mpfi,front,110.0,197.0,70.9,56.3,3505,209,3.62,3.39,8.0,182.0,5400.0,15,20,36880.0,0
121.0,chevrolet,gas,std,two,hatchback,fwd,l,three,2bbl,front,88.4,141.1,60.3,53.2,1488,61,2.91,3.03,9.5,48.0,5100.0,47,53,5151.0,2
98.0,chevrolet,gas,std,two,hatchback,fwd,ohc,four,2bbl,front,94.5,155.9,63.6,52.0,1874,90,3.03,3.11,9.6,70.0,5400.0,38,43,6295.0,1
81.0,chevrolet,gas,std,four,sedan,fwd,ohc,four,2bbl,front,94.5,158.8,63.6,52.0,1909,90,3.03,3.11,9.6,70.0,5400.0,38,43,6575.0,0
118.0,dodge,gas,std,two,hatchback,fwd,ohc,four,2bbl,front,93.7,157.3,63.8,50.8,1876,90,2.97,3.23,9.41,68.0,5500.0,37,41,5572.0,1
