dataset,accuracy,rules,antlength,buildtime
hepatitis,0.762941176470588,2,1.1,19.475
ionosphere,0.90000466853408,3.2,1.55833333333333,9.908
sonar,0.721753246753247,2.2,1.55,28.103
spambase,0.894794182063407,7.6,1.70496031746032,24.869
australian,0.836252587991718,3,1.3,30.484
breast-w,0.941342839646575,4.4,1.65,1.993
colic,0.807657657657658,2,1.4,179.511
credit-a,0.844887346242845,3.2,1.38333333333333,25.623
diabetes,0.735765550239234,4.2,1.47,1.991
heart-statlog,0.737037037037037,2.6,1.675,13.57
credit-g,0.709,2.1,1.16666666666667,50.912
