dataset,accuracy,rules,antlength,buildtime
hepatitis,0.768823529411765,3,0.638333333333333,0.056
ionosphere,0.906377217553688,5.7,0.801428571428571,0.359
sonar,0.605757575757576,2.9,0.633333333333333,0.185
spambase,0.84699351644836,5.8,0.826666666666667,16.637
australian,0.808922177566679,2.3,0.55,0.11
breast-w,0.931321552503426,3.7,0.725,0.067
colic,0.765560297139245,2.6,0.6,0.057
credit-a,0.820498112288394,2.4,0.558333333333333,0.106
diabetes,0.747453861927546,4.5,0.775,0.412
heart-statlog,0.77037037037037,2.9,0.65,0.035
credit-g,0.689,1.7,0.316666666666667,0.215
hepatitis,0.762573529411765,2.8,0.613333333333333,0.068
kd1000_,0.978,3.8,0.725,0.247
kdd10000_,0.8926,5.7,0.817142857142857,20.001
kdd20000_,0.98995,6.7,0.847460317460317,148.663
kdd30000_,0.991866666666667,6.9,0.854761904761905,431.247
kdd40000_,0.98425,7.3,0.850992063492064,1261.042
kdd50000_,0.98964,7.4,0.861626984126984,974.397
kdd1000_,0.978,3.8,0.725,0.334
