dataset,accuracy,rules,antlength,buildtime
hepatitis,0.811421568627451,17.4,1.65814057201828,0.264
ionosphere,0.916503267973856,14.4,0.970377867746289,1.716
sonar,0.692272727272727,18.9,1.86563827125747,3.202
spambase,0.881761545680026,33.1,1.02329697068092,26.874
australian,0.843332115454878,20.5,2.37528392888576,3.951
breast-w,0.952854810019538,16.6,1.9496087366366,0.417
colic,0.848221906116643,23.3,1.61961352657005,0.079
credit-a,0.840621118012422,10.7,1.59491258741259,0.462
credit-g,0.745,64.1,1.84292407419245,2.193
diabetes,0.743557758031442,28.6,2.50482897929019,16.765
heart-statlog,0.781481481481481,16.9,2.59478487886383,0.375
