dataset,accuracy,rules,antlength,buildtime
hepatitis,0.823186274509804,22,1.71501244750673,0.095
ionosphere,0.919607843137255,18.9,1.11410547201337,1.837
sonar,0.722445887445887,28.8,1.91357999650976,3.806
spambase,0.908498371714997,42.4,1.05761749167665,28.916
australian,0.859360004871514,33.8,2.38480624874781,4.38
breast-w,0.965630303560494,29,2.00205019664141,0.418
colic,0.823514303777462,41,1.77957439007947,0.073
credit-a,0.840557788332725,20.6,1.67077771008549,0.471
diabetes,0.752682843472317,39.6,2.60863124366561,20.314
heart-statlog,0.792592592592593,31.1,2.73449725650742,0.384
credit-g,0.739,90.9,1.88922606640297,2.226
