dataset,accuracy,rules,antlength,buildtime
hepatitis,0.811421568627451,17.2,1.65479470735663,0.089
ionosphere,0.916503267973856,14.3,0.97008547008547,1.614
sonar,0.711558441558442,18.9,1.8705573129328,3.154
spambase,0.882193970465464,33.1,1.02402287079706,25.473
australian,0.846273291925466,20.5,2.37309778169961,3.883
breast-w,0.952854810019538,16.6,1.9496087366366,0.428
colic,0.848221906116643,23.5,1.62255045554146,0.183
credit-a,0.842070393374741,10.8,1.59036713286713,0.528
diabetes,0.746155160628845,28.6,2.50777825861878,18.737
heart-statlog,0.781481481481481,16.8,2.5927380952381,0.399
credit-g,0.744,64,1.84260800062063,2.383
