dataset,accuracy,rules,antlength,buildtime
hepatitis,0.768823529411765,1.4,0.5,0.035
ionosphere,0.905560224089636,3.2,1.225,0.138
sonar,0.703354978354978,2.2,1.51666666666667,0.224
spambase,0.857830514938326,5.9,1.57,13.417
australian,0.849256485202777,2.4,0.733333333333333,0.083
breast-w,0.947036421427113,4.2,1.615,0.073
colic,0.815552394499763,2,1.3,0.089
credit-a,0.85217634880039,2.6,0.891666666666667,0.073
diabetes,0.733185235816815,4.1,1.345,0.426
heart-statlog,0.751851851851852,2.5,1.45,0.039
credit-g,0.71,2.1,1.13333333333333,0.056
kdd1000_,0.993,4,1.275,0.319
kdd10000_,0.9931,5.3,1.58333333333333,4.152
kdd20000_,0.996,6.3,1.66452380952381,35.877
kdd30000_,0.995333333333333,5.9,1.66,52.162
