"","only SBRL (Short)","SBRL+QCBA (Short) #5","SBRL+QCBA (Short) #6","only SBRL (long)","SBRL+QCBA (long) #5","SBRL+QCBA (long) #6"
"accuracy (macro average)","0.8","0.81","0.8","0.81","0.81","0.8"
"won/tie/loss","","6/5/0","2/5/5","","7/1/3","6/1/4"
"p-value (accuracy difference)","0","0.031","0.202","0","0.751","0.715"
"avg number of rules","4.8","3.7","3.4","3.3","3","2.7"
"avg conditions / rule","0.8","0.7","0.6","1.5","1.2","1.2"
"avg conditions / model","0","0","0","0","0","0"
"median build time [s]","0.6","0.1","0.1","24.9","0.1","0.1"
"median build time norm","1","0.17","0.17","1","0","0"
"mean build time [s]","0.8 +/- 0.2","1.6 +/- 1.4","1.4 +/- 1.3","35.1 +/- 15","1.3 +/- 1.2","1.5 +/- 1.4"
"mean build time norm","1","1.9","1.69","1","0.04","0.04"
"avg conditions / model (macro)","3.7","2.5","2.2","4.8","3.6","3.2"
"avg conditions / model (micro)","3.8","2.6","2.3","5","3.8","3.4"
