dataset,accuracy,rules,antlength,buildtime
hepatitis,0.823186274509804,24,1.74151269664313,0.375
ionosphere,0.913725490196078,19.2,1.12624543669489,7.145
sonar,0.755411255411255,33.2,1.92476992993772,3.326
spambase,0.908280502681754,44.7,1.05950445131576,14.789
australian,0.859402021678237,40.1,2.40827894002003,0.943
breast-w,0.96710028285656,37.7,2.01455211797942,0.447
colic,0.826217006480164,41,1.77957439007947,0.453
credit-a,0.846376811594203,21.1,1.66882532913311,0.885
credit-g,0.738,91.3,1.88969739355472,1.005
diabetes,0.743557758031442,47.3,2.57569100510445,1.126
heart-statlog,0.811111111111111,36.1,2.71182682978416,0.467
