dataset,accuracy,rules,antlength,buildtime
hepatitis,0.768823529411765,1.4,0.5,0.03
ionosphere,0.828604108309991,2.3,1.35,0.146
sonar,0.703354978354978,2.2,1.51666666666667,0.222
spambase,0.792610568554919,4.1,1.39833333333333,15.693
australian,0.849256485202777,2.4,0.733333333333333,0.089
breast-w,0.947036421427113,4.2,1.615,0.073
colic,0.815552394499763,2,1.3,0.084
credit-a,0.850727073438071,2.4,0.8,0.069
diabetes,0.733185235816815,4.1,1.345,0.425
heart-statlog,0.751851851851852,2.5,1.45,0.045
credit-g,0.71,2.1,1.13333333333333,0.058
