dataset,accuracy,rules,antlength,buildtime
hepatitis,0.775490196078432,3.2,0.671666666666667,0.038
ionosphere,0.917488328664799,6,0.831428571428571,0.404
sonar,0.643852813852814,3.1,0.65,0.156
spambase,0.856112633679332,6,0.831428571428571,16.018
australian,0.842071002313969,2.6,0.575,0.108
breast-w,0.931321552503426,3.8,0.73,0.053
colic,0.85632606290501,3.8,0.733333333333333,0.049
credit-a,0.843500182681768,2.6,0.571666666666667,0.079
diabetes,0.747453861927546,4.5,0.775,0.447
heart-statlog,0.766666666666667,3.1,0.666666666666667,0.033
credit-g,0.695,1.9,0.35,0.196
