dataset,accuracy,rules,antlength,buildtime
hepatitis,0.768823529411765,3,0.638333333333333,0.052
ionosphere,0.881050420168067,5.1,0.762380952380952,0.358
sonar,0.605757575757576,2.9,0.633333333333333,0.137
spambase,0.850906559926621,5.9,0.829047619047619,14.485
australian,0.830476799415418,2.5,0.566666666666667,0.089
breast-w,0.931321552503426,3.8,0.73,0.05
colic,0.720653548285127,2.5,0.583333333333333,0.043
credit-a,0.833355255145537,2.5,0.563333333333333,0.078
credit-g,0.689,1.6,0.3,0.181
diabetes,0.747453861927546,4.5,0.775,0.55
heart-statlog,0.77037037037037,2.9,0.65,0.05
