dataset,accuracy,rules,antlength,buildtime
hepatitis,0.811421568627451,17.2,1.65479470735663,0.084
ionosphere,0.916503267973856,14.3,0.97008547008547,1.62
sonar,0.692705627705628,19.6,1.87511565377833,2.852
spambase,0.885892923591938,33.3,1.02262752195985,26.691
australian,0.847679941541834,20.1,2.38024063884247,3.695
breast-w,0.952854810019538,16.6,1.9496087366366,0.407
colic,0.848221906116643,23.4,1.62116459627329,0.191
credit-a,0.840621118012422,10.7,1.59491258741259,0.479
diabetes,0.744856459330143,28.7,2.50728763174884,15.52
heart-statlog,0.781481481481481,16.8,2.5927380952381,0.499
credit-g,0.745,63.5,1.84135941580116,2.005
