dataset,accuracy,rules,antlength,buildtime
hepatitis,0.768823529411765,1.4,0.5,0.033
ionosphere,0.822885154061625,2.1,1.33333333333333,0.168
sonar,0.703354978354978,2.2,1.51666666666667,0.251
spambase,0.798660743033839,4.1,1.41666666666667,15.165
australian,0.849256485202777,2.4,0.733333333333333,0.097
breast-w,0.947036421427113,4.2,1.615,0.081
colic,0.815552394499763,2,1.3,0.076
credit-a,0.850727073438071,2.4,0.8,0.08
diabetes,0.733185235816815,4.1,1.345,0.527
heart-statlog,0.751851851851852,2.5,1.45,0.049
credit-g,0.71,2.1,1.13333333333333,0.066
