dataset,accuracy,rules,antlength,buildtime
hepatitis,0.762941176470588,2,1.1,18.425
ionosphere,0.90000466853408,3.2,1.55833333333333,9.119
sonar,0.721753246753247,2.2,1.55,25.989
spambase,0.891097586760191,7.6,1.70619047619048,24.507
australian,0.836252587991718,3,1.3,29.687
breast-w,0.941342839646575,4.4,1.65,1.906
colic,0.807657657657658,2,1.4,178.057
credit-a,0.844887346242845,3.2,1.38333333333333,24.411
diabetes,0.735765550239234,4.2,1.47,1.688
heart-statlog,0.737037037037037,2.6,1.675,12.422
credit-g,0.709,2.1,1.16666666666667,49.576
kdd1000_,0.991,3.9,1.79166666666667,32.682
kdd10000_,0.9961,6.5,2.3452380952381,381.876
kdd20000_,0.9982,8.1,2.35634920634921,747.342
kdd30000_,0.9986,8.5,2.4275,1158.903
kdd40000_,0.999025,8.8,2.47666666666667,1636.973
