dataset,accuracy,rules,antlength,buildtime
hepatitis,0.768823529411765,3.8,0.73,0.505
ionosphere,0.914710550887021,6.3,0.839523809523809,0.787
sonar,0.643636363636364,3.8,0.733333333333333,0.807
spambase,0.841985469028065,8.7,0.883888888888889,2.661
australian,0.839172451589331,4.2,0.76,0.785
breast-w,0.931281311054734,5,0.796666666666667,0.853
colic,0.85632606290501,3.8,0.733333333333333,0.806
credit-a,0.833312629399586,4.4,0.77,0.686
diabetes,0.747470950102529,5.5,0.816666666666667,0.911
heart-statlog,0.748148148148148,3.4,0.7,0.59
credit-g,0.69,3.9,0.735,0.766
hepatitis,0.768823529411765,3.8,0.73,0.349
kd1000_,0.993,4.1,0.755,0.455
kdd10000_,0.9964,10.1,0.898838383838384,3.32
kdd20000_,0.99795,12.7,0.921153846153846,7.08
kdd30000_,0.9974,12.8,0.921794871794872,9.63
kdd40000_,0.997275,13.8,0.927234432234432,12.919
kdd50000_,0.9974,15.5,0.935199579831933,18.223
kdd1000_,0.993,4.1,0.755,0.481
