dataset,accuracy,rules,antlength,buildtime
hepatitis,0.768823529411765,3.8,0.73,0.59
ionosphere,0.914710550887021,6.3,0.839523809523809,0.831
sonar,0.643636363636364,3.8,0.733333333333333,0.709
spambase,0.841985469028065,8.7,0.883888888888889,2.659
australian,0.839172451589331,4.2,0.76,0.734
breast-w,0.931281311054734,5,0.796666666666667,0.755
colic,0.85632606290501,3.8,0.733333333333333,0.742
credit-a,0.833312629399586,4.4,0.77,0.605
diabetes,0.747470950102529,5.5,0.816666666666667,0.937
heart-statlog,0.748148148148148,3.4,0.7,0.591
credit-g,0.69,3.9,0.735,0.79
