dataset,accuracy,rules,antlength,buildtime
hepatitis,0.811421568627451,17.4,1.65814057201828,0.198
ionosphere,0.916503267973856,14.3,0.97008547008547,1.586
sonar,0.697251082251082,19.3,1.87311451149233,4.491
spambase,0.884581502296078,33.3,1.02337633576029,30.207
australian,0.843332115454878,19.8,2.38619301979485,4.989
breast-w,0.952854810019538,16.6,1.9496087366366,0.546
colic,0.848221906116643,23.2,1.61794685990338,0.088
credit-a,0.840621118012422,10.9,1.59324592074592,0.571
diabetes,0.743557758031442,28.4,2.50400480346601,19.061
heart-statlog,0.781481481481481,17.7,2.61787094547964,0.405
credit-g,0.744,64.1,1.84284387503291,2.222
