dataset,accuracy,rules,antlength,buildtime
australian,0.691329314334429,2.9,2.41666666666667,4.179
anneal,0.761755809733338,1,0,0.348
autos,0.39571982492463,3.3,1.98666666666667,0.645
breast-w,0.95701746712157,7,2.15714285714286,0.41
colic,0.703674727358938,3.3,1.575,0.233
credit-a,0.705740470101084,6.3,2.91309523809524,1.717
credit-g,0.7,1,0,1.287
diabetes,0.664149008885851,2,1.3,5.966
glass,0.458209737122781,3.5,1.94166666666667,1.363
heart-statlog,0.696296296296296,4,2.52,0.299
hepatitis,0.794191176470588,1,0,0.237
hypothyroid,0.943252446454946,2,0.933333333333333,37.789
ionosphere,0.669878618113912,3.6,1.95166666666667,3.457
iris,0.946666666666667,4.1,1.17166666666667,0.339
labor,0.65,3.8,1.46333333333333,0.181
letter,0.0753062559175228,4.1,1.70666666666667,4.912
lymph,0.677460317460317,5.4,2.36952380952381,0.277
segment,0.285281385281385,2,0.5,12.272
sonar,0.702727272727273,3.8,2.555,2.244
spambase,0.605955589294517,1,0,32.154
vehicle,0.4768416057113,6.6,2.9827380952381,5.252
vowel,0.202020202020202,4.1,1.6,15.363
