dataset,accuracy,rules,antlength,buildtime
australian,0.691329314334429,4.6,3.04880952380952,3.637
anneal,0.761755809733338,1,0,0.383
autos,0.400481729686535,4.1,2.19380952380952,0.639
breast-w,0.95701746712157,7,2.15714285714286,0.434
colic,0.703674727358938,5,2.04349206349206,0.28
credit-a,0.705740470101084,9,3.1530303030303,1.475
credit-g,0.7,1,0,1.201
diabetes,0.664149008885851,5.7,2.07083333333333,4.688
glass,0.458209737122781,3.5,1.94166666666667,1.146
heart-statlog,0.696296296296296,6.4,2.78571428571429,0.224
hepatitis,0.794191176470588,1,0,0.162
hypothyroid,0.943252446454946,2,0.933333333333333,34.556
ionosphere,0.669878618113912,3.6,1.95166666666667,3.229
iris,0.946666666666667,4.8,1.24714285714286,0.247
labor,0.65,3.8,1.46333333333333,0.167
letter,0.0753062559175228,4.1,1.70666666666667,4.505
lymph,0.677460317460317,6.8,2.55615079365079,0.23
segment,0.285281385281385,2,0.5,12.153
sonar,0.717012987012987,4.8,2.84190476190476,2.144
spambase,0.605955589294517,1,0,31.851
vehicle,0.4768416057113,6.6,2.9827380952381,5.59
vowel,0.202020202020202,4.1,1.6,15.163
