"","only IDS","IDS+QCBA #5","IDS+QCBA #6","IDS+QCBA #5 No AttPruning","IDS+QCBA #6 No AttPruning"
"accuracy (macro average)","0.61","0.63","0.63","0.63","0.63"
"won/tie/loss","","13/8/1","12/9/1","14/7/1","13/8/1"
"p-value (accuracy difference)","0","0.001","0.002","0.001","0.001"
"avg number of rules","16.6","4.2","3.4","4.6","3.7"
"avg conditions / rule","3.6","1.7","1.5","2.1","1.9"
"avg conditions / model","0","0","0","0","0"
"median build time [s]","21.1","1.3","1.5","2.8","2.8"
"median build time norm","1","0.06","0.07","0.13","0.13"
"mean build time [s]","52.2 +/- 16.2","5.6 +/- 2.1","6 +/- 2.2","15.9 +/- 5.9","16 +/- 5.9"
"mean build time norm","1","0.11","0.11","0.31","0.31"
"avg conditions / model (macro)","60.4","7.1","5.3","9.6","7.2"
"avg conditions / model (micro)","60.1","9","6.7","12.2","8.9"
