dataset,accuracy,rules,antlength,buildtime
australian,0.694227865059067,4.9,3.85357142857143,9.007
anneal,0.761755809733338,1,0,0.571
autos,0.400481729686535,4.6,2.6325,1.216
breast-w,0.95989531391246,7.5,2.88154761904762,0.803
colic,0.703674727358938,4.9,2.42944444444444,0.427
credit-a,0.710026184386798,9.5,3.3602380952381,2.213
credit-g,0.7,1,0,2.05
diabetes,0.670642515379357,9.2,3.02435064935065,12.664
glass,0.458407365581279,4,2.73,3.353
heart-statlog,0.696296296296296,7,3.31289682539683,0.44
hepatitis,0.794191176470588,1,0,0.333
hypothyroid,0.942986489008137,2.1,1.4,47.032
ionosphere,0.686788048552754,3.4,2.65333333333333,6.571
iris,0.96,5.4,1.81785714285714,0.597
labor,0.633333333333333,3.7,2.11666666666667,0.185
letter,0.0753062559175228,4.1,2.255,19.515
lymph,0.684603174603175,7,2.96349206349206,0.244
segment,0.285281385281385,2,0.5,105.528
sonar,0.717012987012987,4.9,3.06452380952381,3.666
spambase,0.605955589294517,1,0,66.098
vehicle,0.482710278761916,6.3,3.16936507936508,9.813
vowel,0.212121212121212,5.8,2.39154761904762,57.637
