dataset,accuracy,rules,antlength,buildtime
anneal,0.993295596413574,21.2,1.71187841144363,0.298
australian,0.857993545244184,17.9,2.54956545776205,1.076
autos,0.819233046384076,35.7,2.0199858912231,0.302
breast-w,0.959936721779955,22,2.29547874872088,0.373
colic,0.793914967599178,42.6,2.61451693267411,0.165
credit-a,0.837765801972963,20.8,2.38373554089828,0.871
credit-g,0.721,66.6,2.71094206653867,2.36
diabetes,0.763123718386876,19.3,2.28051845693293,3.776
glass,0.719148942844595,22.1,2.21598581040114,1.201
heart-statlog,0.818518518518519,13.2,2.63629273504274,0.151
hepatitis,0.807156862745098,15.1,2.10827811893988,0.083
hypothyroid,0.993907572892821,23.8,2.30857750093207,21.148
ionosphere,0.925658263305322,22,1.94912877054296,2.92
iris,0.94,4.7,1.18357142857143,0.057
labor,0.843333333333333,8,1.34884920634921,0.036
letter,0.795729002652329,1000.3,2.91803087120558,447.882
lymph,0.819503968253968,20.7,2.31130649416691,0.051
segment,0.958441558441558,75.6,2.48638935185715,272.072
sonar,0.754415584415584,16.5,2.58512955182073,1.52
spambase,0.924148706628637,48.7,2.53517857327233,174.023
vehicle,0.697229870017973,50.9,2.67367851763724,6.697
vowel,0.709090909090909,124.2,2.72102477489118,167.215
