dataset,accuracy,rules,antlength,buildtime
anneal,0.993295596413574,19.2,1.72773846380658,0.259
australian,0.844969553038607,10.1,2.41953185703186,0.989
autos,0.808067632850242,28.8,1.95198238410335,0.274
breast-w,0.952895634677631,13.1,2.20754800754801,0.352
colic,0.798731626363205,25.5,2.55969600514428,0.156
credit-a,0.831862136158811,12.8,2.27025641025641,0.8
credit-g,0.709,43,2.68303604345478,2.223
diabetes,0.748752563226247,11.4,2.16091991341991,3.497
glass,0.653415521676391,18.3,2.25063596491228,1.09
heart-statlog,0.8,7.7,2.48890692640693,0.14
hepatitis,0.774607843137255,9.8,1.92461038961039,0.075
hypothyroid,0.990988375164379,16.7,2.38873251748252,19.543
ionosphere,0.931209150326797,13.3,1.60967032967033,2.732
iris,0.94,4.1,1.08333333333333,0.056
labor,0.826666666666667,5.4,1.29952380952381,0.03
letter,0.789379310609273,970,2.91722420108018,437.688
lymph,0.787440476190476,12.8,2.1794622044622,0.048
