"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"8" "{petallength=[-Inf;2.45]} => {class=Iris-setosa}" 0.333333333333333 1 0.333333333333333 3 45 1 1 45 1
"20" "{petallength=(4.85; Inf],petalwidth=(1.75; Inf]} => {class=Iris-virginica}" 0.296296296296296 1 0.296296296296296 3 40 2 1 40 1
"23" "{sepalwidth=[-Inf;3.05],petalwidth=(1.75; Inf]} => {class=Iris-virginica}" 0.185185185185185 1 0.185185185185185 3 25 2 1 1 1
"51" "{sepallength=(5.55;6.25],petallength=(2.45;4.85],petalwidth=(0.8;1.75]} => {class=Iris-versicolor}" 0.155555555555556 1 0.155555555555556 3 21 3 1 21 1
"24" "{sepallength=(6.25; Inf],petallength=(2.45;4.85]} => {class=Iris-versicolor}" 0.0740740740740741 1 0.0740740740740741 3 10 2 1 10 1
"16" "{sepallength=(5.55;6.25],petallength=(4.85; Inf]} => {class=Iris-virginica}" 0.0666666666666667 1 0.0666666666666667 3 9 2 1 1 1
"27" "{sepalwidth=(3.05; Inf],petallength=(2.45;4.85]} => {class=Iris-versicolor}" 0.0518518518518519 1 0.0518518518518519 3 7 2 1 1 1
"32" "{sepalwidth=(3.05; Inf],petalwidth=(0.8;1.75]} => {class=Iris-versicolor}" 0.0518518518518519 1 0.0518518518518519 3 7 2 1 1 1
"25" "{petallength=(2.45;4.85],petalwidth=(0.8;1.75]} => {class=Iris-versicolor}" 0.303703703703704 0.976190476190476 0.311111111111111 2.92857142857143 41 2 0.909090909090909 10 0.99236641221374
"6" "{petallength=(4.85; Inf]} => {class=Iris-virginica}" 0.318518518518519 0.934782608695652 0.340740740740741 2.80434782608696 43 1 0.5 2 NA
"0" "{} => {class=Iris-versicolor}" 0.333333333333333 0.333333333333333 1 1 45 0 NA NA 0.977777777777778
